Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors
Series B - Qdrant,https://www.crunchbase.com/funding_round/qdrant-series-b--ca826e0b,Series B,50000000,USD,50000000,2026-03-12,Early Stage Venture,Qdrant is an open-source vector search engine and database for next-generation AI applications.,https://qdrant.tech,5,"AI Infrastructure, Artificial Intelligence (AI), Cloud Data Services, Open Source, Search Engine","Berlin, Berlin, Germany, Europe",AVP
Series A - Mind Robotics,https://www.crunchbase.com/funding_round/mind-robotics-1202-series-a--96d5d029,Series A,500000000,USD,500000000,2026-03-11,Early Stage Venture,Mind Robotics develops artificial intelligence and robotics systems designed for industrial environments and manufacturing operations.,https://www.mindrobotics.com,2,"Artificial Intelligence (AI), Machine Learning, Robotics","Palo Alto, California, United States, North America","Accel, Andreessen Horowitz"
Series A - Corridor,https://www.crunchbase.com/funding_round/corridor-f17c-series-a--ffb90c83,Series A,25000000,USD,25000000,2026-03-18,Early Stage Venture,Corridor provides a security platform that guides AI coding tools and reviews code in real time.,https://corridor.dev/,2,"Artificial Intelligence (AI), Information Technology, Security","San Francisco, California, United States, North America",Felicis
Series B - Sift,https://www.crunchbase.com/funding_round/sift-fc3c-series-b--8a3ea09a,Series B,42000000,USD,42000000,2026-03-25,Early Stage Venture,Sift offers transformative tools for machine creators to innovate at speed and scale.,https://www.siftstack.com,4,"Machine Learning, SaaS, Software","El Segundo, California, United States, North America",StepStone Group
Series D - Entrepreneurs First,https://www.crunchbase.com/funding_round/entrepreneurs-first-series-d--defa9488,Series D,200000000,USD,200000000,2026-03-11,Late Stage Venture,Entrepreneurs First runs programs that identify individuals pursuing technology startups and support them during early company formation.,http://www.joinef.com,6,"Artificial Intelligence (AI), Business Development, Finance, Financial Services, Venture Capital","London, England, United Kingdom, Europe",
Seed Round - RunSybil,https://www.crunchbase.com/funding_round/runsybil-seed--fdd41885,Seed,40000000,USD,40000000,2026-03-18,Seed,RunSybil is an AI-powered offensive security platform designed to continuously test applications and infrastructure for vulnerabilities.,https://www.runsybil.com,1,"Artificial Intelligence (AI), Cyber Security, Network Security, Security","San Francisco, California, United States, North America",Khosla Ventures
Series B - Wonderful,https://www.crunchbase.com/funding_round/wonderful-6ee5-series-b--d1c455ba,Series B,150000000,USD,150000000,2026-03-12,Early Stage Venture,Wonderful develops software for deploying artificial intelligence agents in business operations and customer interactions.,https://www.wonderful.ai,4,"Artificial Intelligence (AI), Enterprise Software, Generative AI, SaaS","Amsterdam, Noord-Holland, The Netherlands, Europe",Insight Partners
Venture Round - Earendil Labs,https://www.crunchbase.com/funding_round/earendil-labs-series-unknown--2c5cc171,Venture - Series Unknown,787000000,USD,787000000,2026-03-20,,Earendil Labs is a biotechnology company developing technology platforms that transform therapeutic protein discovery.,https://www.earendil.bio,1,"Artificial Intelligence (AI), Biotechnology, Information Technology","Middletown, Delaware, United States, North America",Dimension Capital
Seed Round - RoboForce,https://www.crunchbase.com/funding_round/roboforce-seed--b01c4cbe,Seed,52000000,USD,52000000,2026-03-16,Seed,Building Physical AI-powered Robo-Labor.,https://www.roboforce.ai,3,"Artificial Intelligence (AI), Machine Learning, Robotics","Milpitas, California, United States, North America",YZi Labs
Seed Round - VeryAI,https://www.crunchbase.com/funding_round/veryai-seed--5bb69fc6,Seed,10000000,USD,10000000,2026-03-12,Seed,VeryAI develops a privacy-preserving identity verification platform using palm-scan biometrics on the Solana blockchain.,https://veryai.io,1,"Artificial Intelligence (AI), Blockchain, Information Technology",,Polychain
Series A - Kandou AI,https://www.crunchbase.com/funding_round/kandou-bus-series-a--884242d8,Series A,225000000,USD,225000000,2026-03-23,Early Stage Venture,"Kandou AI specializes in the design of high-speed, and pin- and energy-efficient chip-to-chip links, SerDes, and associated technologies.",https://www.kandou.ai/,13,"Artificial Intelligence (AI), Electronics, Energy, Information Technology, Manufacturing, Semiconductor","Lausanne, Vaud, Switzerland, Europe",Maverick Silicon
Series A - Mega,https://www.crunchbase.com/funding_round/mega-f976-series-a--bfd7f609,Series A,11500000,USD,11500000,2026-03-09,Early Stage Venture,Mega is an AI marketing platform that automates SEO and digital advertising for businesses.,http://www.gomega.ai,1,"Artificial Intelligence (AI), Marketing, SEO","Brooklyn, New York, United States, North America",Goodwater Capital
Series A - Thesis Care,https://www.crunchbase.com/funding_round/trovo-health-series-a--e8c5a940,Series A,45000000,USD,45000000,2026-03-25,Early Stage Venture,Thesis Care uses AI technology to provide comprehensive healthcare solutions.,https://www.trovohealth.com,2,"Artificial Intelligence (AI), Health Care","New York, New York, United States, North America",Oak HC/FT
Series A - Octopus Power,https://www.crunchbase.com/funding_round/octopus-power-series-a--0284af21,Series A,50000000,USD,50000000,2026-03-20,Early Stage Venture,Octopus Power develops physics-based artificial intelligence systems focused on physical automatic generated intelligence.,,2,"Artificial Intelligence (AI), Information Technology, Robotics","Beijing, Beijing, China, Asia",
Series A - Lio,https://www.crunchbase.com/funding_round/ask-lio-ai-series-a--f1a77784,Series A,30000000,USD,30000000,2026-03-05,Early Stage Venture,Lio support teams in organizing operational data and managing business workflows through customizable digital registers.,https://lio.ai,2,"Artificial Intelligence (AI), Enterprise Software, Procurement, SaaS","San Francisco, California, United States, North America",Andreessen Horowitz
Series A - Antiverse,https://www.crunchbase.com/funding_round/antiverse-series-a--a474231d,Series A,9300000,USD,9300000,2026-03-03,Early Stage Venture,Antiverse is dedicated to engineering the future of drug development to change the course of people's lives.,http://antiverse.io,10,"Artificial Intelligence (AI), Biotechnology, Health Care, Life Science, Machine Learning","Cardiff, Cardiff, United Kingdom, Europe",Soulmates Ventures
Series B - Spade,https://www.crunchbase.com/funding_round/spade-series-b--b5210f84,Series B,40000000,USD,40000000,2026-03-24,Early Stage Venture,"Spade is a data and AI platform that turns messy transaction data into structured, verified records and gives teams the tools to act on it.",https://www.spade.com,4,"Artificial Intelligence (AI), Developer APIs, FinTech, Machine Learning","New York, New York, United States, North America",Oak HC/FT
Series A - Swarm Aero,https://www.crunchbase.com/funding_round/swarm-aero-series-a--92847d5a,Series A,35000000,USD,35000000,2026-03-11,Early Stage Venture,Swarm Aero is an aerospace and defense company that develops large-scale unmanned aerial vehicle (UAV) swarms for defense and missions.,https://www.swarm.aero,4,"Aerospace, Artificial Intelligence (AI), Drones, Hardware, Military, National Security","Oxnard, California, United States, North America","Silent Ventures, Two Sigma Ventures"
Seed Round - WhiteBridge AI,https://www.crunchbase.com/funding_round/whitebridge-ai-seed--fb7156ec,Seed,2600000,EUR,2990551,2026-03-13,Seed,WhiteBridge.ai is The Ultimate People Search & Research AI Tool,https://www.whitebridge.ai,4,"Artificial Intelligence (AI), Business Intelligence, Cyber Security, Lead Generation, Search Engine, Software","Vilnius, Vilniaus Apskritis, Lithuania, Europe",FIRSTPICK
Series A - Bold Security,https://www.crunchbase.com/funding_round/bold-security-series-a--febeb382,Series A,28000000,USD,28000000,2026-03-12,Early Stage Venture,Bold is a cybersecurity company that develops AI software to monitor device activity and detect unusual behavior linked to security threats.,https://www.bold.security/,2,"Artificial Intelligence (AI), Cyber Security, Software","New York, New York, United States, North America","Bessemer Venture Partners, Picture Capital, Red Dot Capital Partners"
Series B - Doctronic,https://www.crunchbase.com/funding_round/doctronic-e795-series-b--c40bb3af,Series B,40000000,USD,40000000,2026-03-23,Early Stage Venture,Doctronic offers an AI-powered medical assistant platform that uses a chatbot to provide medical answers and personalized health management.,https://www.doctronic.ai,3,"Artificial Intelligence (AI), Chatbot, Generative AI, Health Care, Health Diagnostics, Machine Learning, Personal Health","New York, New York, United States, North America","Abstract, Lightspeed Venture Partners"
Seed Round - Great Sky,https://www.crunchbase.com/funding_round/great-sky-seed--4cd207f3,Seed,14000000,USD,14000000,2026-03-14,Seed,"Great Sky combines photonics, superconductors, and semiconductors. to develop AI hardware.",https://www.greatsky.ai/,2,"AI Infrastructure, Artificial Intelligence (AI), Manufacturing, Network Hardware, Semiconductor","Boulder, Colorado, United States, North America",Bison Ventures
Series C - Advanced Navigation,https://www.crunchbase.com/funding_round/advanced-navigation-series-c--46656aa3,Series C,158000000,AUD,111854606,2026-03-17,Late Stage Venture,"Advanced Navigation creates AI-powered navigation systems and robotics technologies for use in the air, land, sea, and space.",https://www.advancednavigation.com,6,"Artificial Intelligence (AI), Electronics, Manufacturing, Navigation, Robotics","Sydney, New South Wales, Australia, Oceania",Airtree Ventures
Seed Round - Galtea,https://www.crunchbase.com/funding_round/galtea-seed--ea55fd69,Seed,3200000,USD,3200000,2026-03-25,Seed,"Galtea's software tests pre-deployment AI agents with custom scenarios and metrics for errors, performance, and behavior.",https://galtea.ai,2,Artificial Intelligence (AI),"Barcelona, Catalonia, Spain, Europe",42CAP
Series A - Ease Health,https://www.crunchbase.com/funding_round/ease-health-series-a--afd96d9b,Series A,41000000,USD,41000000,2026-03-02,Early Stage Venture,"Ease Health focused on behavioral health solutions,building an AI-native electronic health record system for behavioral health practices.",https://easehealth.com,1,"Artificial Intelligence (AI), Health Care, Mental Health, Outpatient Care","New York, New York, United States, North America",Andreessen Horowitz
Venture Round - Galaxy Bot,https://www.crunchbase.com/funding_round/galaxy-bot-series-unknown--50c812f4,Venture - Series Unknown,2500000000,CNY,363901019,2026-03-02,,Galaxy Bot is an innovative robotics company that provides intelligent universal service robotic products.,http://www.galbot.com,7,"Artificial Intelligence (AI), Intelligent Systems, Manufacturing, Robotics","Beijing, Beijing, China, Asia",
Seed Round - Multiply,https://www.crunchbase.com/funding_round/multiply-9280-seed--c06cf088,Seed,9500000,USD,9500000,2026-03-18,Seed,Multiply is the hybrid AI + human media agency specializing in B2B paid advertising on platforms.,https://gomultiply.com,1,"Advertising, Artificial Intelligence (AI), B2B, Information Technology","San Francisco, California, United States, North America",Mayfield Fund
Series A - Notch,https://www.crunchbase.com/funding_round/notch-07c8-series-a--7b6cdf5d,Series A,30000000,USD,30000000,2026-03-25,Early Stage Venture,Autonomous AI customer support agent that turns CS Ops from a grind into an edge.,https://getnotch.net,3,"Artificial Intelligence (AI), InsurTech, SaaS","Tel Aviv, Tel Aviv, Israel, Asia",Headline
Series B - DeepIP,https://www.crunchbase.com/funding_round/deepip-series-b--42149ed1,Series B,25000000,USD,25000000,2026-03-02,Early Stage Venture,DeepIP is the leading AI patent platform,https://www.deepip.ai,2,"Artificial Intelligence (AI), Software, Web Development","New York, New York, United States, North America","Korelya Capital, Serena"
Series A - Gimlet Labs,https://www.crunchbase.com/funding_round/gimlet-labs-series-a--e3ec1318,Series A,80000000,USD,80000000,2026-03-23,Early Stage Venture,Gimlet Labs is a startup that develops infrastructure and applied research solutions that enable execution of agent-based AI workloads.,https://gimletlabs.ai,2,"Artificial Intelligence (AI), Cloud Computing, Information Technology, IT Infrastructure","San Francisco, California, United States, North America",Menlo Ventures
Seed Round - Hosted·AI,https://www.crunchbase.com/funding_round/hosted-ai-seed--a1183680,Seed,19000000,USD,19000000,2026-03-19,Seed,"Hosted·AI is a software company that offers GPUaaS orchestration, AI tools, and cloud infrastructure solutions.",https://hosted.ai,1,"AI Infrastructure, Artificial Intelligence (AI), Cloud Infrastructure, GPU, Software","San Jose, California, United States, North America",Creandum
Pre Seed Round - Blify,https://www.crunchbase.com/funding_round/blify-pre-seed--40716622,Pre-Seed,2100000,USD,2100000,2026-03-17,Seed,Blify is an AI-powered manager training platform that integrates leadership training directly into team platforms.,https://www.blify.co/,1,"Artificial Intelligence (AI), Corporate Training, E-Learning, Training","Paris, Ile-de-France, France, Europe",AFI Ventures
Seed Round - Respan,https://www.crunchbase.com/funding_round/keywords-ai-seed--cae8f669,Seed,5000000,USD,5000000,2026-03-18,Seed,"Respan is an AI observability platform that helps teams trace, evaluate, and monitor AI agent behavior and performance.",https://respan.ai,2,"Artificial Intelligence (AI), B2B, Developer Tools, SaaS","San Francisco, California, United States, North America",Gradient
Series G - Harvey,https://www.crunchbase.com/funding_round/harvey-128b-series-g--4b130779,Series G,200000000,USD,200000000,2026-03-25,Late Stage Venture,"Harvey provides AI-driven tools to assist legal professionals with research, document review, and contract analysis.",https://harvey.ai,9,"Artificial Intelligence (AI), Information Technology, Legal, Legal Tech","San Francisco, California, United States, North America","GIC, Sequoia Capital"
Pre Seed Round - Anchr,https://www.crunchbase.com/funding_round/anchr-pre-seed--0bbe00e0,Pre-Seed,5800000,USD,5800000,2026-03-10,Seed,"Anchr offers an AI platform that unifies data, retrieves knowledge, and runs agents to automate research, support, and reporting.",https://anchr.tech,1,"Artificial Intelligence (AI), Logistics, Software","Irvine, California, United States, North America",a16z speedrun
Series A - Xscape Photonics,https://www.crunchbase.com/funding_round/xscape-photonics-series-a--6d43ac8e,Series A,37000000,USD,37000000,2026-03-11,Early Stage Venture,Xscape Photonics provides photonic chips for high-speed connections in high-performance computing systems and data centers.,https://www.xscapephotonics.com/,4,"AI Infrastructure, Artificial Intelligence (AI), Data Center, Information Technology, Semiconductor, Simulation","New York, New York, United States, North America",Addition
Seed Round - Delfos Energy,https://www.crunchbase.com/funding_round/delfos-intelligent-maintenance-seed--c87e9e28,Seed,3000000,EUR,3468312,2026-03-11,Seed,Delfos provides Artificial Intelligence for the Energy Industry in order to predict failures.,http://delfosim.com,6,"Artificial Intelligence (AI), Database, Machine Learning, Renewable Energy, SaaS","Barcelona, Catalonia, Spain, Europe",
Seed Round - AgentMail,https://www.crunchbase.com/funding_round/agentmail-10e0-seed--b80833e0,Seed,6000000,USD,6000000,2026-03-10,Seed,"AgentMail provides an API-first email platform that enables AI agents to send, receive, and manage emails with automation and analytics.",https://agentmail.to,2,"Artificial Intelligence (AI), Email, Software","San Francisco, California, United States, North America",General Catalyst
Seed Round - Pranos Fusion,https://www.crunchbase.com/funding_round/pranos-fusion-seed--e59d77c8,Seed,6800000,USD,6800000,2026-03-24,Seed,"Pranos Fusion is a fusion energy company that provides baseload power, plasma modeling, and AI-driven clean energy technology.",https://www.pranosfusion.energy,3,"Artificial Intelligence (AI), Clean Energy, Energy, Nuclear","Bangalore, Karnataka, India, Asia","Ankur Capital, Pi Ventures"
Series A - Origin,https://www.crunchbase.com/funding_round/origin-ed0f-series-a--d061e601,Series A,22400000,GBP,30011321,2026-03-25,Early Stage Venture,Origin provides an enterprise software platform that enables organizations to manage and optimize employee benefits through data systems.,https://originbenefits.com,3,"Artificial Intelligence (AI), B2B, Employee Benefits, Enterprise Software, Human Resources, SaaS","London, England, United Kingdom, Europe",Notion Capital
Series C - Adonis,https://www.crunchbase.com/funding_round/adonis-f0e1-series-c--5873cc5a,Series C,40000000,USD,40000000,2026-03-25,Late Stage Venture,Adonis provides revenue cycle management software that improves data visibility and financial operations for healthcare organizations.,https://www.adonis.io,4,"Artificial Intelligence (AI), Health Care, Information Technology, Software","New York, New York, United States, North America",Quadrille Capital
Venture Round - Tenkara,https://www.crunchbase.com/funding_round/tenkara-ab0a-series-unknown--cedd0896,Venture - Series Unknown,7000000,USD,7000000,2026-03-17,,Tenkara makes AI agents that help companies that make things with their back-office work.,https://tenkara.ai,1,"Artificial Intelligence (AI), Supply Chain Management","San Francisco, California, United States, North America",True Ventures
Series A - Sandbar,https://www.crunchbase.com/funding_round/sandbar-92c3-series-a--aa275e26,Series A,23000000,USD,23000000,2026-03-10,Early Stage Venture,"Sandbar creates voice, gesture, and wearable tools to help capture ideas and connect thoughts to digital actions.",https://sandbar.com/,2,"Artificial Intelligence (AI), Consumer Electronics, Consumer Software","New York, New York, United States, North America","Adjacent, Kanyi Maqubela, Kindred Ventures"
Venture Round - OpenAI,https://www.crunchbase.com/funding_round/openai-series-unknown--463c4dd9,Venture - Series Unknown,10000000000,USD,10000000000,2026-03-24,,"OpenAI is an AI research and deployment company that develops advanced AI models, including ChatGPT.",https://www.openai.com,14,"Agentic AI, Artificial Intelligence (AI), Foundational AI, Generative AI, Machine Learning, Natural Language Processing, SaaS","San Francisco, California, United States, North America","Andreessen Horowitz, D. E. Shaw & Co., MGX, TPG, T. Rowe Price"
Series A - VALIDIO,https://www.crunchbase.com/funding_round/validio-series-a--35f80461,Series A,30000000,USD,30000000,2026-03-05,Early Stage Venture,"VALIDIO offers a next-generation data platform for data lakes, warehouses, and real-time streams.",http://www.validio.io/,3,"Big Data, Machine Learning, Software","Stockholm, Stockholms Lan, Sweden, Europe",Plural
