Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors,analysis_uses_genai,analysis_genai_intensity,analysis_models_mentioned,analysis_build_patterns,analysis_market_type,analysis_vertical,analysis_sub_vertical,analysis_target_market,analysis_unique_findings,analysis_newsletter_potential,analysis_technical_depth,analysis_confidence_score,analysis_content_analyzed_chars,analysis_timestamp,analysis_competitors,analysis_differentiation,analysis_secret_sauce,analysis_competitive_moat
Series A - Cogent Security,https://www.crunchbase.com/funding_round/cogent-security-series-a--1cb8ea9f,Series A,42000000,USD,42000000,2026-02-18,Early Stage Venture,Cogent Security utilizes AI agents to manage vulnerabilities by connecting scanners and prioritizing fixes.,https://www.cogent.security,2,"Artificial Intelligence (AI), Computer, Network Security, Software","San Francisco, California, United States, North America",Bain Capital Ventures,,,,,,,,,,,,,,,,,,
Seed Round - Jampack AI,https://www.crunchbase.com/funding_round/jampack-ai-seed--8af44538,Seed,3200000,USD,3200000,2026-02-24,Seed,Automate your wholesale and retail operations with AI,https://jampack.ai,1,"Artificial Intelligence (AI), Generative AI","San Francisco, California, United States, North America",Maveron,Yes,core,ChatGPT; Claude; Gemini,Agentic Architectures; Vertical Data Moats; RAG (Retrieval-Augmented Generation); Micro-model Meshes; Guardrail-as-LLM (Safety/Compliance Layers); Knowledge Graphs; Continuous-learning Flywheels; Natural-Language-to-Code,horizontal,industrial,supply chain and logistics automation for wholesale distribution,b2b,"Hybrid 'agent + adapter' approach: Jampack presents an orchestration layer that routes agentic workflows to either API-native integrations or to a 'translation layer' that ingests portals, emails, and spreadsheets. Technically this implies a hybrid stack combining real-time API connectors, EDI adapters, RPA-like UI automation, and robust document/CSV/EDI parsers — not just an LLM front-end. | Real-time vs batch bridging as a first-class problem: they explicitly call out reconciling real-time API calls with legacy batch flows (daily CSVs, EDI windows). That requires choreography, stateful workflow engines, compensating transactions, idempotency guarantees, and event-sourcing to keep distributed systems consistent — complexity many vendors gloss over. | Domain-specific orchestration and rules engine: beyond generic automation, they emphasize retailer-specific compliance (ASN formats, GTIN/pallet rules, label templates). This suggests a large library of codified domain rules and transformation pipelines (schema mappings, validators) that are executed deterministically by the orchestrator, not left to probabilistic LLM outputs.",medium,medium,0.72,57935,2026-03-07T22:39:21.141671+00:00,SPS Commerce; TrueCommerce (and other EDI providers such as Cleo); Flexport; Project44 / FourKites; HighRadius / YayPay / Invoiced (AR & O2C automation vendors); Stord / ShipBob / other API-first 3PLs; Shipwell / Convoy / Transfix (TMS / carrier marketplaces); Workato / Zapier / Make (horizontal automation/platform integrators),"Agentic, end-to-end automation for CPG wholesale order-to-cash that both integrates with modern APIs and uniquely bridges legacy partners (portals, email, CSVs) via a translation/agent layer so brands can automate the full lifecycle without ripping out existing systems.","A combined integrations + agentic orchestration scaffold specialized for CPG wholesale that (a) contains retailer-specific compliance and domain logic, (b) accumulates operational context across POs/shipments/invoices, and (c) translates legacy non-API interfaces into programmatic actions — enabling autonomous end-to-end execution rather than episodic automation.",medium
Seed Round - Tangible,https://www.crunchbase.com/funding_round/tangible-7088-seed--824d1c3e,Seed,4300000,USD,4300000,2026-02-12,Seed,"Tangible is a platform to facilitate the structuring, modeling, and management of asset-backed financial transactions.",https://www.tangible.finance,2,"Artificial Intelligence (AI), Finance, Financial Services, Transaction Processing","London, England, United Kingdom, Europe",Pale blue dot,Yes,enhancement,Anthropic; Google Cloud AI,Vertical Data Moats; Retrieval-Augmented Generation (RAG); Micro-model Meshes (multi-model / multi-provider); Knowledge Graphs / Entity-Centric Live Data Infrastructure; Guardrail-as-LLM (safety/compliance checking layers); Natural-Language-to-Code / Rules Automation; Continuous-learning Flywheels; Agentic Architectures,vertical,financial_services,Asset-backed financing / structured finance,b2b,"Explicit use of third-party large-language/assistant providers (Anthropic + Google Cloud AI) for an AI-powered diligence layer rather than attempting to build end-to-end LLM capability in‑house — signals a hybrid strategy that outsources heavyweight model inference while owning the higher-level transaction workflow. | Focus on standardizing 'playbooks' for esoteric physical assets (starting with batteries). This implies they are building domain-specific data schemas, valuation rules, and legal/credit templates that map physical asset properties to structured finance terms — a niche not served well by generic fintech tooling. | Claim of a single source of truth 'live data infrastructure' that reconciles every asset and data point in real time. Technically this suggests an event-driven streaming architecture with strong data lineage, near-real-time ETL from heterogeneous sources (accounting, IoT telemetry, legal docs), and reconciliation engines that create a canonical collateral model.",medium,medium,0.78,40060,2026-03-07T22:39:04.625839+00:00,"Traditional banks and structured finance boutiques (e.g., large banks, specialty ABS desks, boutique advisors); Capchase / other fintechs offering non-dilutive capital (e.g., Capchase, Clearco, Wayflyer); Data-room / diligence automation providers (e.g., Intralinks, DealRoom, iDeals) and contract/ document AI (e.g., Kira Systems); Tokenization / RWA infrastructure platforms (e.g., Centrifuge, Securitize); Specialist asset-finance / equipment finance vendors & platforms (e.g., Siemens Financial Services, DLL, specialized asset finance tech providers); Credit analytics and risk-platform vendors (e.g., Moody's Analytics, S&P Global Market Intelligence, smaller fintech risk-stack vendors)","A verticalized platform + expert services that converts physical hard‑tech assets into standardized, institutional-grade asset-backed finance using live reconciled data and AI-powered diligence — focused on esoteric assets (starting with batteries).","A domain-specific combination of: (1) explainable ML/agentic models that map physical asset performance into underwriteable finance inputs, (2) live reconciled data infrastructure for collateral/receivable tracking and covenant automation, and (3) packaged structured-finance playbooks plus on-demand experts to operationalize deals for lenders and borrowers.",medium
Series A - Rowspace,https://www.crunchbase.com/funding_round/rowspace-series-a--5c883c28,Series A,50000000,USD,50000000,2026-02-25,Early Stage Venture,Rowspace provides an AI platform that helps financial firms use proprietary data for decision-making.,https://rowspace.ai,2,"Analytics, Artificial Intelligence (AI), Data Management, FinTech, Machine Learning, Software","San Francisco, California, United States, North America","Emergence Capital, Sequoia Capital",No,none,,Knowledge Graphs; Natural-Language-to-Code; Guardrail-as-LLM; Micro-model Meshes; Continuous-learning Flywheels; RAG (Retrieval-Augmented Generation); Agentic Architectures; Vertical Data Moats,vertical,financial_services,risk analytics and decision support for financial services,b2b,"Content provided is overwhelmingly marketing boilerplate and contains no explicit technical implementation details; any technical insights below are necessarily inferred and speculative. | Repeated navigation/hero lines and cookie banners suggest their site content is built from a templated component system; the repetition could indicate server-side rendering or a CMS-driven feed that failed to deduplicate items before rendering, pointing to a non-trivial content pipeline that must handle canonicalization and deduplication at scale. | Presence of an enterprise demo CTA, security/careers nav items, and references to 'Global leader in credit origination' implies dual product modes: a public-facing newsletter and an enterprise analytics product. Supporting both implies a hybrid architecture that separates consumer personalization pipelines from enterprise data integrations and secure ingestion connectors (SAML/SSO, VPC peering, encrypted connectors).",medium,low,0.75,4501,2026-03-07T22:47:41.554896+00:00,"Palantir (Foundry); Databricks; Snowflake (and ecosystem partners); DataRobot; Kensho (S&P Global) / AlphaSense; Specialized fintech analytics startups (e.g., Quantexa, Second Measure, Numerator/YipitData-like players)","A finance-focused AI platform that helps firms operationalize their proprietary data for decision-making (credit origination, investment decisions), offering domain-tailored workflows and integrations rather than a generic data or ML stack.","Combining finance domain expertise, integrations that ingest and model proprietary (sensitive) datasets, and prebuilt decisioning workflows so financial firms can rapidly turn internal data into production ML-driven decisions.",medium
Series A - Gambit Security,https://www.crunchbase.com/funding_round/gambit-security-series-a--0f25f608,Series A,56000000,USD,56000000,2026-02-25,Early Stage Venture,Gambit Security is an AI-powered cybersecurity platform that focuses on enhancing company resilience against cyberattacks and disruptions.,https://gambit.security,2,"Artificial Intelligence (AI), Cyber Security","New York, New York, United States, North America","Cyberstarts, Kleiner Perkins, Spark Capital",No,unclear,,Knowledge Graphs; Continuous-learning Flywheels; Guardrail-as-LLM (automated validation/compliance checks); Vertical Data Moats,horizontal,cybersecurity,cyber resilience / business continuity / disaster recovery,b2b,"End-to-end fusion of backups + cloud config + IaC into a single live dependency/impact graph (they claim continuous mapping of resources into business applications) — signals a graph-native architecture that treats backups as just one data plane among many rather than the canonical source of truth. | Continuous, evidence-first recoverability validation (phrased as ‘healthy restore point discovery’, ‘immutability validation’, and ‘validate safe and clean recovery paths’) — implies they run automated, recurring restore checks or synthetic restores and produce attestation records for audits. | Scoring model that combines resilience, backup coverage and threat intelligence into prioritized remediation actions — this is an inference engine on top of telemetry and inventory that converts technical signals into SLA-impact scores.",medium,medium,0.00,48106,2026-03-12T06:14:53.900648+00:00,Rubrik; Veeam; Cohesity; Zerto (and similar DR/orchestration vendors); Druva / Commvault / Veritas; Prisma Cloud / Wiz / Lacework (CSPM / cloud posture); Cymulate / SafeBreach (Breach & attack simulation),"Unified, continuous validation of recoverability across backups, cloud configurations and IaC by mapping resources to business applications, scoring resilience, and producing audit‑ready evidence that a recovery will work when needed.","A platform that fuses backup metadata, cloud inventory, and IaC into live business‑application dependency maps and then continuously validates recoverability (healthy restore points, immutability, and dependency integrity) to produce prioritized remediation and audit‑grade proof.",medium
Series A - Simile,https://www.crunchbase.com/funding_round/simile-a413-series-a--6c9e2e96,Series A,100000000,USD,100000000,2026-02-12,Early Stage Venture,Simile provides a platform for automating and improving communication and collaboration through AI-driven tools.,https://simile.ai,1,"Artificial Intelligence (AI), Customer Service, Online Portals","Palo Alto, California, United States, North America",Index Ventures,No,unclear,,Guardrail-as-LLM; Continuous-learning Flywheels,horizontal,enterprise_saas,AI-powered enterprise collaboration,b2b,"The only content captured is a repeated Cloudflare WAF page — strong signal that Simile's ingestion pipeline is aggressively scraping third‑party sites (or using automated browsing) and is triggering bot protection. That operational footprint itself reveals a major part of their technical stack: large‑scale crawling, proxy rotation, headless-browser orchestration, and sophisticated retry/evade logic. | To deliver 'unique, high‑impact insights' from noisy web signals they likely run a multi‑stage pipeline: web extraction → entity linking/time‑series linking → vectorized semantic search → LLM summarization → novelty/impact scoring → editorial vetting. The novelty/impact scoring is nontrivial and suggests they compute features like corroboration count, velocity of mentions, technical feasibility signals, and cross‑domain surprise metrics. | Evidence graph / provenance architecture: extracting citation graphs (who cites what and when), normalizing entities and claims, and encoding provenance into an evidence graph to judge credibility and novelty. This graph approach is qualitatively different from single‑document summarizers and enables comparing new claims against prior knowledge.",medium,low,0.50,22365,2026-03-07T22:52:51.923124+00:00,Zendesk (including Zendesk AI/Answer Bot); Intercom; Ada; Drift; Salesforce Service Cloud / Einstein; LivePerson; Cresta / Observe.AI; Microsoft (Teams + Copilot) / Google (Workspace + AI tools),Positioning as an AI-first platform that automates and improves both external customer communication (portals/support) and internal collaboration workflows — combining conversational automation with collaboration tooling rather than being a point chatbot or CRM bolt-on.,"An AI orchestration layer that unifies conversational automation (customer portals, bots, messaging) with internal collaboration and workflow automation — combined with enterprise-grade integrations and data to fine-tune models for real-world conversations.",medium
Series A - Backslash Security,https://www.crunchbase.com/funding_round/backslash-security-series-a--e862270c,Series A,19000000,USD,19000000,2026-02-10,Early Stage Venture,Backslash Security provides security solutions for managing application and AI-driven development risks.,https://www.backslash.security,2,"Artificial Intelligence (AI), Cloud Computing, Cyber Security, Security","Tel Aviv, Tel Aviv, Israel, Asia",KOMPAS VC,Yes,core,Claude Code (Anthropic); OpenAI; Google; Cursor; Windsurf,Natural-Language-to-Code; Guardrail-as-LLM; Agentic Architectures; RAG (Retrieval-Augmented Generation); Micro-model Meshes; Continuous-learning Flywheels; Knowledge Graphs; Vertical Data Moats,horizontal,cybersecurity,AI-driven application security (AppSec) for enterprise software development,b2b,"They treat MCP servers and prompt rules as first-class attack surface components — not just the LLM. Instead of only scanning generated code, Backslash instruments and vets the intermediary layers (MCPs/Skills) that extend LLMs, assessing permissions, configs and excessive capabilities before those extensions are allowed to operate. | Proactive, in-prompt enforcement: the platform injects or augments developer prompts with expert security guidance (centralized 'prompt rules') so that secure constraints travel with the prompt at generation time rather than relying on post-hoc scanning. This is a move from 'scan-fix' to 'generate-secure-by-default' at the prompt level. | IDE-level fencing of agentic AI: they claim real-time enforcement of secure configuration, file access and permissions inside IDEs to 'fence off' agents. That implies deep integrations (LSP/plugins or OS-level hooks) to intercept agent requests and limit file/permission scope — effectively an in-IDE sandbox for agent behavior.",high,medium,0.76,53587,2026-03-07T22:59:08.369283+00:00,"Snyk; GitHub Advanced Security / GitHub Copilot (Microsoft); Veracode / Checkmarx (SAST vendors); Contrast Security (IAST/RASP); Palo Alto Prisma Cloud / Aqua Security; Robust Intelligence (and other model-safety / LLM governance startups); Emerging Prompt/Agent Governance vendors (category competitors: e.g., Guardrails/PromptLayer/Langfuse and similar startups)","Specialization in securing the AI-native developer surface: visibility, governance and real-time prevention for AI coding agents, MCP servers, skills and prompt rules—shifting security left into code generation rather than relying on downstream scan-and-fix.","A focused product that: (1) discovers and maps usage of AI coding agents, MCP servers and prompt rules across developer environments; (2) enforces centralized prompt rules that preempt insecure code generation; and (3) augments LLMs in real time (via an MCP Server) with OSS vulnerability intelligence and remediation guidance during code synthesis.",medium
Venture Round - Selector,https://www.crunchbase.com/funding_round/selector-software-series-unknown--9c57cb05,Venture - Series Unknown,32000000,USD,32000000,2026-02-18,,Selector is a software company that provides an AIOps platform for operational intelligence.,https://www.selector.ai,4,"Analytics, Artificial Intelligence (AI), Data Visualization, Infrastructure, Machine Learning, Software","Santa Clara, California, United States, North America",AVP,Yes,core,LLMs,Agentic Architectures; Retrieval-Augmented Generation (RAG); Knowledge Graphs; Vertical Data Moats; Guardrail-as-LLM; Continuous-learning Flywheels; Micro-model Meshes; Natural-Language-to-Code (or Action),horizontal,enterprise_saas,IT operations and observability for enterprise networks and infrastructure,b2b,"MCP (Multi-Controller/Management) server as a standardized, production-grade agent interface: Selector describes a dedicated 'MCP server' that acts as a single secure endpoint between AI agents (copilots, external LLMs, autonomous flows) and operational systems. It's deployed on isolated, purpose-built Kubernetes nodes (s2mcp), auto-scales for bursty agent activity, and includes authz/guardrails and observability for agent interactions. This is more platformization of agent access than a simple LLM wrapper. | Real-time, topology-aware Digital Twin that fuses live telemetry + running device configs + historical state for replay/simulation: They emphasize a continuously updated model of devices, connections, services, and their telemetry, plus timeline-based replay and 'what-if' simulation for changes and DR testing. The Twin is used both for RCA (causal correlation across L1-L7) and for predictive modeling/forecasting. | Network LLM / Copilot trained on customer telemetry/environment and integrated with causal, explainable RCA: They claim the Copilot is trained on a customer's own telemetry + environment and returns explainable answers with source-level references (causal links, correlated event timelines), not just LLM hallucinations. Combined with the Digital Twin, this promises context-aware, domain-specific reasoning.",high,medium,0.80,49078,2026-03-07T23:03:10.742074+00:00,Datadog; Dynatrace; Splunk (Observability / SignalFx); BigPanda; Moogsoft; NetBrain; Cisco (ThousandEyes / AppDynamics); ExtraHop / NetScout,"A unified AIOps platform that explicitly combines network (layers 1–4), infrastructure and application (L5–L7) telemetry into a topology‑aware Digital Twin, augmented by a network‑specialized LLM/Copilot and an MCP server to enable secure AI agent interactions — marketed as the only platform that unifies these domains with conversational, causality‑driven RCA and simulation.","The combination of a topology‑aware, real‑time Digital Twin + a network‑specialized LLM/Copilot + an MCP server that safely exposes structured, contextualized operational data to AI agents — enabling causal, explainable RCA, natural language interaction, and predictive what‑if simulation across network, infra and applications.",medium
Series A - Didero,https://www.crunchbase.com/funding_round/didero-series-a--b7298d96,Series A,30000000,USD,30000000,2026-02-12,Early Stage Venture,Didero is a software company that uses an AI procurement agent to automate supply chain processes for manufacturers and distributors.,https://www.didero.ai,2,"Artificial Intelligence (AI), Industrial Automation, Procurement, Supply Chain Management","New York, New York, United States, North America","Chemistry, Headline",Yes,core,Covalent AI,Agentic Architectures; Micro-model Meshes; Continuous-learning Flywheels; RAG (Retrieval-Augmented Generation); Vertical Data Moats; Guardrail-as-LLM (Safety/Compliance Layer); Knowledge Graphs; Natural-Language-to-Code / Action Mapping,horizontal,industrial,supply chain and procurement automation for manufacturers and distributors,b2b,"Agent-first orchestration layered on top of incumbent systems: Didero repeatedly emphasizes that their product 'sits natively on top of your existing tools' (email, ERPs) and deploys in days. That implies a connector-and-agent architecture where lightweight adapters (email parsers, API connectors, or middle-tier RPA) feed an agent orchestration layer that issues actions and writes back to ERPs—rather than forcing customers to rip-and-replace core systems. | Progressive autonomy lifecycle (sandbox → recommendations → autonomous): they describe a concrete operational path for agent maturity—start with read-only recommendations in sandbox, audit outputs, then flip to autonomous writes. This is an operational design choice that reduces legal/operational risk and enables iterative RL/HF pipelines that incorporate human approvals as labels. | White-glove integration as a productized engineering lever: rather than exposing complex self-serve tooling, Didero bundles 'all development work handled by our team' and two-week integrations. Technically this hides integration complexity under a services layer and lets them accelerate customer rollouts while accumulating integration templates and playbooks.",medium,medium,0.80,68408,2026-03-07T23:05:44.439984+00:00,Coupa; SAP Ariba; Ivalua; Basware; Fairmarkit; Scoutbee; UiPath (and RPA vendors); Zycus / GEP / Jaggaer (procurement suites),"An agentic AI overlay that autonomously handles routine procurement work (especially natural-language supplier communications) and integrates quickly atop customers' existing systems with a white-glove, low-IT deployment model.","A combined stack of agentic AI (NLP + decision agents), pre-built procurement workflow agents, rapid non-invasive integrations into email/ERP systems, and a service-led deployment that yields fast, measurable automation wins — now strengthened by Covalent's PO lifecycle accuracy.",medium
Series A - Stacks,https://www.crunchbase.com/funding_round/stacks-87ce-series-a--a3498e95,Series A,23000000,USD,23000000,2026-02-19,Early Stage Venture,Stacks is a software platform that helps accounting teams automate and manage the financial close process with AI-driven tools.,https://stacks.ai,3,"Accounting, Artificial Intelligence (AI), Enterprise Software, Financial Services, FinTech","Amsterdam, Noord-Holland, The Netherlands, Europe",Lightspeed Venture Partners,Yes,core,,Agentic Architectures; RAG (Retrieval-Augmented Generation); Continuous-learning Flywheels; Guardrail-as-LLM; Vertical Data Moats; Micro-model Meshes; Knowledge Graphs; Natural-Language-to-Code,horizontal,financial_services,enterprise finance operations and accounting automation,b2b,"They foreground an ""AI-ready financial data layer"" built at transaction-granularity rather than a superficial connector layer — i.e., canonicalizing dispersed ERP, spreadsheet and legacy sources into a single, consistent transaction model as the primary engineering priority. | Use of “deterministic machine‑learning tooling” — language in the text implies a hybrid stack: rule-based/deterministic systems plus ML models (probabilistic matching) engineered for predictability and auditability rather than pure black‑box models. | Agent orchestration over operational finance workflows: agents that can detect variances, fetch transaction context, draft narratives, and execute or prepare journal entries — moving beyond single-shot analysis to multi-step, stateful workflows.",high,medium,0.78,218804,2026-03-07T23:08:10.738558+00:00,BlackLine; Trintech (Cadency & ReconNET); FloQast; OneStream; HighRadius; Trullion; Workiva / Reporting & Compliance tools,"AI-native, agentic finance platform built on a dedicated financial data layer that automates reconciliations, journal postings and variance analysis to accelerate the close (vision: one-click close).","The combination of an AI‑ready financial data layer (direct ERP integrations / real‑time sync), deterministic ML reconciliation models tuned for enterprise transaction data, and agentic AI (Flux and Accounting Agents) that generate explainable, audit‑ready narratives and automate end‑to‑end close workflows.",medium
Funding Round - Circuit,https://www.crunchbase.com/funding_round/circuit-9b12-undisclosed--3c271304,Funding Round,30000000,USD,30000000,2026-02-17,,Circuit offers a platform for feature extraction to streamline data preparation for AI and machine learning.,http://www.circuit.ai,2,"Artificial Intelligence (AI), Machine Learning, Software, Software Engineering","Austin, Texas, United States, North America",,Yes,core,Anthropic; Groq,Retrieval-Augmented Generation (RAG); Agentic Architectures (Tool-using Agents); Micro-model Meshes (Model Specialization & Routing); Continuous-learning Flywheel (Feedback Loops); Guardrail-as-LLM / Provenance & Compliance Controls; Knowledge Graph / Structured Knowledge (Implicit); Natural-Language-to-Rules / NL-to-Configuration (NL2Rules); Vertical Data Moat / Domain-specialized AI,vertical,industrial,manufacturing quoting/configuration and field service enablement,b2b,"Secure AI containers called “Circuits” that hold indexing artifacts and ingested content — an explicit abstraction for isolating not just customer data but the derived ML artifacts (embeddings, parsed structure, rules). This is unusual because most RAG vendors treat embeddings and indexes as opaque blobs in a vector DB; Circuit surfaces them as first-class, tenant-isolated containers. | Agent-specific API keys that are domain-restricted and rate-limited (60 rpm), combined with agent-level RBAC and index-level RBAC. The granularity (workspace / index / agent) suggests a security-first product design that maps directly to common enterprise governance needs rather than a flat API-key model. | A multi-stage document processing pipeline that claims to extract structure, relationships, and semantics from heterogeneous technical artifacts (PDFs, Word, spreadsheets, presentations, CAD drawings, wiring diagrams, exploded views). The emphasis on CAD/drawings + BOM/quantity extraction implies integration of specialized parsers (vectorization of diagrams, CAD/OEM format parsers, geometry/OCR pipelines) rather than plain text chunking.",high,high,0.78,176424,2026-03-07T23:13:47.017579+00:00,"Salesforce (Einstein / Einstein GPT / Service Cloud); Microsoft (Copilot / Dynamics 365 Customer Service / Power Platform); RFPIO / Loopio (RFP automation vendors); Coveo / Elastic / Algolia (enterprise search + relevance + AI layers); ServiceMax / PTC / IFS (Field Service Management + product/asset platforms); Knowledge/KB vendors (Guru, Slab, Bloomfire, Document360); Specialized AI startups and platform players (Moveworks, Paper, DeepSearch / startups focused on enterprise QA and RFP/document reasoning)","Purpose-built AI that converts messy, technical manufacturing and service documentation (specs, CAD/drawings, pricing rules) into guided, document-cited workflows and conversational agents for quoting, field service, and RFPs.","A combined capability stack: robust document ingestion/indexing (including CAD and drawings) + automated extraction of configuration/compatibility rules from technical docs + purpose-built agent domains that surface document-cited, actionable guidance (quotes, takeoffs, troubleshooting) — all deployed in secure, per-customer 'Circuit' containers with enterprise governance.",medium
Seed Round - Sherpas,https://www.crunchbase.com/funding_round/sherpas-8359-seed--656c6875,Seed,3200000,USD,3200000,2026-02-23,Seed,Sherpas is a provider of an AI-native infrastructure platform for financial advisors and wealth management firms.,https://sherpaswealth.com,2,"Artificial Intelligence (AI), Financial Services, FinTech, Wealth Management","San Francisco, California, United States, North America",1248 Holdings,Yes,core,,Natural-Language-to-Code; RAG (Retrieval-Augmented Generation); Micro-model Meshes; Vertical Data Moats; Guardrail-as-LLM; Continuous-learning Flywheels; Knowledge Graphs; Agentic Architectures,vertical,financial_services,wealth management / financial planning,b2b,"Positioning: they describe Sherpas not as another planning app but as an ""AI-native operating layer"" that standardizes the analytical foundation of advice across intake, modeling, and recommendation drafting — i.e., a horizontal orchestration layer that sits above legacy tools rather than a point-solution. | Document intelligence UX: a text-to-extraction, no-code UI for creating custom extraction rules (""just type what you need"") that maps free-text prompts directly to structured extraction schemas — this is a product choice that shifts complexity from engineering to UX and could dramatically reduce onboarding friction. | Pre-trained, domain-specific document library + custom rules: they combine a curated set of pre-trained financial document models (tax returns, brokerage statements, loan agreements) with user-editable extraction rules, implying a hybrid approach (base models + prompt/regex-like overrides) rather than pure black-box ML.",medium,medium,0.75,34999,2026-03-07T23:14:03.758508+00:00,"eMoney Advisor (Envestnet eMoney); MoneyGuide (MoneyGuidePro); RightCapital / RightCapital-like tools; Addepar; Envestnet / Orion / custodial/wealth-platform incumbents; Vise (and AI-driven portfolio/advice startups); Cloud Document AI / OCR providers (AWS Textract, Google Document AI, ABBYY, etc.)","Positioned as an AI-native 'operating layer' for financial advice that automates the end-to-end analytical foundation of planning (intake, document extraction, diagnostic modeling, portfolio benchmarking and narrative recommendation drafting) rather than a single bolt-on planning tool.","A combined stack of domain-tuned AI models (document understanding + financial decision frameworks) integrated directly into advisory workflows so data ingestion, modeling and narrative recommendation are automated and produce explainable, advisor‑voice outputs tied to a firm's own benchmarks and model portfolios.",medium
Series B - Reco,https://www.crunchbase.com/funding_round/reco-67bb-series-b--2833dae3,Series B,30000000,USD,30000000,2026-02-10,Early Stage Venture,Reco is a dynamic SaaS security company that specializes in monitoring and securing cloud applications.,https://www.reco.ai,4,"Artificial Intelligence (AI), Cyber Security, Generative AI, SaaS","Altamonte Springs, Florida, United States, North America",Zeev Ventures,Yes,core,,Knowledge Graphs; Agentic Architectures; Micro-model Meshes; RAG (Retrieval-Augmented Generation); Vertical Data Moats; Continuous-learning Flywheels; Natural-Language-to-Code; Guardrail-as-LLM,horizontal,cybersecurity,"SaaS security and Cloud Application Security (SSPM, IAM governance, and cross-SaaS threat detection)",b2b,"Cross-SaaS OAuth token monitoring as a first-class capability — they claim continuous monitoring of OAuth token usage patterns across heterogeneous SaaS apps and correlate token behavior with cross-application activity. Detecting anomalous token usage across vendor boundaries is uncommon and technically difficult because it requires normalizing sparse telemetry from many different APIs and inferring misuse where vendors expose limited token-level logs. | Knowledge graph built for SaaS business context — Reco emphasizes a graph that links apps, users, tokens, permissions, data objects, integrations and AI agents. This is more than asset inventory: it's a contextual graph designed to power cross-application detections and 'threat stories', which implies complex entity resolution and relationship inference at SaaS speed. | AppFactory no-code/low-code connector generation with 2–5 day delivery — instead of hand-coding each connector, they use a templated/automated pipeline to onboard new SaaS integrations quickly. That suggests automated mapping, schema extraction, and perhaps a connector SDK generator to handle OAuth flows, scopes, pagination, rate limits and mapping to their internal schema.",high,medium,0.65,99560,2026-03-07T23:24:13.086351+00:00,AppOmni; Adaptive Shield; Obsidian Security (Lacework/Obsidian); Microsoft Defender for Cloud Apps (MCAS)/Microsoft CASB; Netskope (SSE/CASB); BetterCloud,"A unified, SaaS‑native platform that combines continuous app discovery (including AI agents and SaaS‑to‑SaaS integrations), identity governance, SSPM, data exposure management and cross‑SaaS threat detection (ITDR) driven by AI Agents and a knowledge graph.","The combination of continuous, SaaS‑native discovery (including shadow AI and SaaS‑to‑SaaS links), AI Agents that correlate behavior across multiple SaaS apps, and a Knowledge Graph that provides business context — enabling cross‑SaaS detections (OAuth/token abuse, lateral movement, secrets harvesting) that legacy tools miss.",medium
Series F - Tomorrow.io,https://www.crunchbase.com/funding_round/climacell-series-f--72b51826,Series F,175000000,USD,175000000,2026-02-03,Late Stage Venture,Tomorrow.io is a weather technology company offering real-time forecasting services to predict and respond to climate-related threats.,https://www.tomorrow.io,8,"Artificial Intelligence (AI), Big Data, Business Information Systems, Environmental Consulting, SaaS","Boston, Massachusetts, United States, North America","HarbourVest Partners, Stonecourt Capital",,,,,,,,,,,,,,,,,,
