Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors
Series D - Parloa,https://www.crunchbase.com/funding_round/parloa-series-d--3b5b1d33,Series D,350000000,USD,350000000,2026-01-15,Late Stage Venture,Parloa is an AI agent management platform that supports contact centers in automating and enhancing customer interactions.,https://parloa.com,5,"Artificial Intelligence (AI), Chatbot, Generative AI, SaaS, Software","Berlin, Berlin, Germany, Europe",General Catalyst
Seed Round - humans&,https://www.crunchbase.com/funding_round/humans-36f3-seed--4310ba54,Seed,480000000,USD,480000000,2026-01-20,Seed,humans& operates as a frontier artificial intelligence research and product lab focused on human-centered AI systems and interaction models.,https://humansand.ai,1,"Artificial Intelligence (AI), Foundational AI, Generative AI, Information Technology, Machine Learning, Software","Redwood City, California, United States, North America","Georges Harik, SV Angel"
Series D - Decagon,https://www.crunchbase.com/funding_round/decagon-485e-series-d--363d9f2d,Series D,250000000,USD,250000000,2026-01-28,Late Stage Venture,Decagon provides a conversational AI platform for automating customer support across multiple channels.,https://decagon.ai,5,"Artificial Intelligence (AI), Generative AI, Machine Learning, Software","San Francisco, California, United States, North America","Coatue, Index Ventures"
Series A - LMArena,https://www.crunchbase.com/funding_round/lmarena-series-a--58c7f201,Series A,150000000,USD,150000000,2026-01-06,Early Stage Venture,"LMArena is a web-based platform that evaluates large language models (LLMs) through anonymous, crowd-sourced pairwise comparisons.",https://lmarena.ai,2,"Artificial Intelligence (AI), Information Services, Machine Learning, Product Research","San Francisco, California, United States, North America","Felicis, UC Investments"
Series D - OpenEvidence,https://www.crunchbase.com/funding_round/openevidence-series-d--9df809d5,Series D,250000000,USD,250000000,2026-01-21,Late Stage Venture,OpenEvidence is a medical AI company that builds a search engine to support clinicians in making evidence-based decisions.,https://www.openevidence.com,6,"Artificial Intelligence (AI), Clinical Trials, Medical, SaaS, Search Engine","Cambridge, Massachusetts, United States, North America","DST Global, Thrive Capital"
Seed Round - Terra Industries,https://www.crunchbase.com/funding_round/terrahaptix-seed--1d10e5ef,Seed,11750000,USD,11750000,2026-01-12,Seed,Terra Industries develops autonomous security systems and software platforms that support the monitoring and protection of physical assets.,https://www.terraindustries.co,2,"Artificial Intelligence (AI), Big Data, Cyber Security, Drones, National Security","Abuja, Federal Capital Territory, Nigeria, Africa",8VC
Seed Round - Inferact,https://www.crunchbase.com/funding_round/inferact-seed--2f5a6295,Seed,150000000,USD,150000000,2026-01-22,Seed,Inferact mission is to accelerate AI progress by making inference cheaper and faster.,https://inferact.ai/,1,"Artificial Intelligence (AI), Information Technology, Software","San Francisco, California, United States, North America","Andreessen Horowitz, Lightspeed Venture Partners"
Venture Round - Baseten,https://www.crunchbase.com/funding_round/baseten-series-unknown--cfb7ab38,Venture - Series Unknown,300000000,USD,300000000,2026-01-20,,"Baseten is an AI infrastructure company that integrates machine learning into business operations, production, and processes.",https://www.baseten.co,7,"AI Infrastructure, Artificial Intelligence (AI), Developer Tools, Machine Learning, Software, Software Engineering","San Francisco, California, United States, North America","CapitalG, IVP, NVIDIA"
Seed Round - Limy AI,https://www.crunchbase.com/funding_round/limy-ai-seed--ec6926d6,Seed,10000000,USD,10000000,2026-01-28,Seed,Limy AI is a software development company that offers brand marketing services using AI.,https://www.limy.ai/,3,"Artificial Intelligence (AI), Brand Marketing, Software","New York, New York, United States, North America",Flybridge
Seed Round - Proxima,https://www.crunchbase.com/funding_round/vantai-seed--582859ed,Seed,86264999,USD,86264999,2026-01-13,Seed,Proxima Bio develops programmable medicines that modulate protein interactions to address disease processes.,https://proximabio.com,1,"Alternative Medicine, Artificial Intelligence (AI), Biotechnology, Clinical Trials, Life Science, Machine Learning","New York, New York, United States, North America",DCVC
Seed Round - Gyde,https://www.crunchbase.com/funding_round/gyde-707f-seed--32ea2bec,Seed,60000000,USD,60000000,2026-01-28,Seed,Gyde operates an AI-native brokerage platform designed to support insurance professionals and agencies with digital tools and services.,https://gydehealth.ai/,1,"Artificial Intelligence (AI), Health Care, Health Insurance, Personal Health","Austin, Texas, United States, North America",Lightspeed Venture Partners
Series C - Fiddler AI,https://www.crunchbase.com/funding_round/fiddler-labs-series-c--7ebb413c,Series C,30000000,USD,30000000,2026-01-27,Late Stage Venture,"Fiddler provides enterprise model performance management software that allows monitoring, explaining, analyzing, and improving ML models.",https://www.fiddler.ai,8,"AI Infrastructure, Analytics, Artificial Intelligence (AI), Big Data, Enterprise, Machine Learning, Software","Palo Alto, California, United States, North America",RPS Ventures
Series C - Rogo,https://www.crunchbase.com/funding_round/rogo-series-c--2b091e92,Series C,75000000,USD,75000000,2026-01-28,Late Stage Venture,"Rogo provides an enterprise AI platform for automating research, workflows, and document creation in finance.",https://rogo.ai,7,"Analytics, Artificial Intelligence (AI), Business Intelligence, Financial Services, FinTech, Generative AI","New York, New York, United States, North America",Sequoia Capital
Series C - osapiens,https://www.crunchbase.com/funding_round/osapiens-series-c--79cdb57e,Series C,100000000,USD,100000000,2026-01-14,Late Stage Venture,Osapiens is a technology company that provides digital systems and software solutions to automate and optimize operational workflows.,https://www.osapiens.com,3,"Artificial Intelligence (AI), Compliance, SaaS, Supply Chain Management","Mannheim, Baden-Wurttemberg, Germany, Europe",Decarbonization Partners
Series A - Ricursive Intelligence,https://www.crunchbase.com/funding_round/ricursive-intelligence-series-a--5228256d,Series A,300000000,USD,300000000,2026-01-26,Early Stage Venture,Ricursive Intelligence uses AI and computing to shorten semiconductor timelines through recursive cycles designing silicon for AI.,https://www.ricursive.com,2,"AI Infrastructure, Artificial Intelligence (AI), Business Intelligence, Semiconductor","Palo Alto, California, United States, North America",Lightspeed Venture Partners
Series D - Vention,https://www.crunchbase.com/funding_round/vention-series-d--a3429c49,Series D,90000000,USD,90000000,2026-01-27,Late Stage Venture,Vention is a digital manufacturing automation platform that helps companies automate their production floor.,https://www.vention.io,8,"Artificial Intelligence (AI), CAD, Hardware, Industrial Automation, Mechanical Engineering, Robotics","Montréal, Quebec, Canada, North America",Investissement Quebec
Series A - X Square,https://www.crunchbase.com/funding_round/x-square-series-a--68a7b3e1,Series A,1000000000,CNY,143408240,2026-01-12,Early Stage Venture,"X Square is a company aiming to create a universal brain-cerebellum system for robots, encompassing capabilities from perception to action.",http://www.x2robot.com,7,"Artificial Intelligence (AI), Robotic Process Automation (RPA), Robotics","Shenzhen, Guangdong, China, Asia",
Series A - Converge Bio,https://www.crunchbase.com/funding_round/converge-bio-series-a--f280ccd9,Series A,25000000,USD,25000000,2026-01-13,Early Stage Venture,Converge Bio integrates Generative AI with biological data.,https://converge-bio.com/,3,"Artificial Intelligence (AI), Biotechnology, Medical","Wilmington, Delaware, United States, North America",Bessemer Venture Partners
Series A - Agileday,https://www.crunchbase.com/funding_round/agileday-series-a--a4303b5c,Series A,6400000,EUR,7520564,2026-01-23,Early Stage Venture,"Agileday is a services automation platform combining talent management, timesheets, and project financials into one operating system.",https://www.agileday.com,2,"Artificial Intelligence (AI), Business Process Automation (BPA), Professional Services, SaaS, Software","Helsinki, Southern Finland, Finland, Europe",Newion
Seed Round - Levellr,https://www.crunchbase.com/funding_round/levellr-seed--d9ad616d,Seed,2500000,USD,2500000,2026-01-29,Seed,Levellr is a technology company that provides a platform for modernizing corporate payroll and workforce management.,https://levellr.com,3,"Analytics, Artificial Intelligence (AI), Gaming, Human Resources","London, England, United Kingdom, Europe",Fuel Ventures
Series A - Mia Labs,https://www.crunchbase.com/funding_round/mialabsinc-series-a--a3cbdab7,Series A,20000000,USD,20000000,2026-01-22,Early Stage Venture,"Mia Labs is an Artificial intelligence employee to answer calls, schedule appointments, and provide assistance.",https://mia.inc/,2,"Artificial Intelligence (AI), Information Technology","Austin, Texas, United States, North America",Permanent Capital Ventures
Series A - Concourse,https://www.crunchbase.com/funding_round/concourse-e69f-series-a--4298cf5e,Series A,12000000,USD,12000000,2026-01-27,Early Stage Venture,"Concourse is an AI agent platform that helps corporate finance teams by automating financial analysis, reporting, and data workflows.",https://concourse.co,3,"Artificial Intelligence (AI), B2B, Generative AI, Software","New York, New York, United States, North America",Standard Capital
Seed Round - Emobi,https://www.crunchbase.com/funding_round/emobi-2b3b-seed--ed742486,Seed,3400000,USD,3400000,2026-01-28,Seed,"Emobi is an electric vehicle company that designs, manufactures, and markets zero-emission urban mobility solutions.",https://www.emobi.ai,3,"Artificial Intelligence (AI), Business Intelligence, Charging Infrastructure, Clean Energy, Electric Vehicle","San Francisco, California, United States, North America",Florida Funders
Pre Seed Round - yozo.ai,https://www.crunchbase.com/funding_round/yozo-ai-pre-seed--caccfcd0,Pre-Seed,1700000,USD,1700000,2026-01-28,Seed,Yozo AI Growth Agent is a self-sufficient Shopify store marketing assistant.,https://yozo.ai/,1,"Artificial Intelligence (AI), E-Commerce, Software","Abu Dhabi, Abu Dhabi, United Arab Emirates, Asia","Access Bridge Ventures, Disruptech Ventures"
Series A - FLORA,https://www.crunchbase.com/funding_round/flora-25cf-series-a--4090f6bd,Series A,42000000,USD,42000000,2026-01-27,Early Stage Venture,FLORA is an applied AI HCI company building creative tools.,https://www.florafauna.ai,2,"Artificial Intelligence (AI), Information Technology, Software","Brooklyn, New York, United States, North America",Redpoint
Series A - Adaptive6,https://www.crunchbase.com/funding_round/adaptive6-series-a--ab85f613,Series A,28000000,USD,28000000,2026-01-28,Early Stage Venture,Adaptive6 is a cloud cost governance platform helping engineers optimize expenses before resource provisioning.,https://www.adaptive6.com,1,"Artificial Intelligence (AI), Cloud Management, Software","Tel Aviv-yafo, Tel Aviv, Israel, Asia",U.S. Venture Partners
Seed Round - Poetiq,https://www.crunchbase.com/funding_round/poetiq-seed--c977e00f,Seed,45800000,USD,45800000,2026-01-30,Seed,Poetiq develops an AI meta-system that improves large language models for complex reasoning and problem solving.,https://poetiq.ai,1,"Artificial Intelligence (AI), Business Intelligence, Data Integration, Enterprise Software, Knowledge Management, Machine Learning, Natural Language Processing, Software","Mountain View, Missouri, United States, North America","FYRFLY Venture Partners, Surface Ventures"
Series B - Ivo,https://www.crunchbase.com/funding_round/latch-2f35-series-b--1c83d7b3,Series B,55000000,USD,55000000,2026-01-20,Early Stage Venture,Ivo is an AI-powered contract intelligence platform helping enterprise legal teams streamline contract review and negotiation processes.,https://www.ivo.ai,4,"Artificial Intelligence (AI), Legal, Legal Tech","San Francisco, California, United States, North America",Blackbird Ventures
Seed Round - PraxisPro,https://www.crunchbase.com/funding_round/praxispro-seed--c81f98b9,Seed,7853193,USD,7853193,2026-01-21,Seed,"PraxisPro operates as an AI-powered training platform targeted for life sciences, including pharmaceutical and medical device sales teams.",https://www.praxispro.ai,1,"Artificial Intelligence (AI), Pharmaceutical, Sales","Houston, Texas, United States, North America",AlleyCorp
Seed Round - Bolna,https://www.crunchbase.com/funding_round/whismurwave-inc-seed--93e38def,Seed,6300000,USD,6300000,2026-01-20,Seed,"Bolna offers voice AI agents that transforms business to qualify leads, boost sales, automate customer support, and streamline recruitment.",https://www.bolna.ai/,2,"Artificial Intelligence (AI), Business Development, Generative AI, Sales, VoIP","Dover, Delaware, United States, North America",General Catalyst
Series A - Prenosis,https://www.crunchbase.com/funding_round/prenosis-series-a--26dbef79,Series A,20000000,USD,20000000,2026-01-29,Early Stage Venture,Prenosis develops data-driven diagnostic tools and precision medicine solutions for acute care conditions.,http://www.prenosis.com,7,"Artificial Intelligence (AI), Biopharma, Health Care, Hospital, Machine Learning, Medical, Pharmaceutical, Precision Medicine","Chicago, Illinois, United States, North America",PACE Healthcare Capital
Pre Seed Round - GeneralMind,https://www.crunchbase.com/funding_round/generalmind-pre-seed--43a4f1ad,Pre-Seed,12000000,USD,12000000,2026-01-20,Seed,GeneralMind is an AI company that reduces repetitive supply-chain operations by automating manual steps in email and excel.,https://www.generalmind.com,1,"Artificial Intelligence (AI), Software","Berlin, Berlin, Germany, Europe","BOOOM, Heliad AG, Lakestar, Leo Capital, Lucid Capital"
Series C - Zanskar,https://www.crunchbase.com/funding_round/zanskar-series-c--7de4f665,Series C,115000000,USD,115000000,2026-01-21,Late Stage Venture,Zanskar develops data-driven technology to identify and develop geothermal energy resources.,https://zanskar.com,4,"Analytics, Artificial Intelligence (AI), Geothermal Energy, GreenTech, Information Technology, Predictive Analytics, Renewable Energy","Salt Lake City, Utah, United States, North America",Spring Lane Capital
Series C - Automata,https://www.crunchbase.com/funding_round/automata-series-c--96898ebc,Series C,45000000,USD,45000000,2026-01-29,Late Stage Venture,Automata is a lab automation company offering the LINQ platform to streamline workflows and boost laboratory efficiency.,https://automata.tech,7,"Artificial Intelligence (AI), Biotechnology, Life Science, Robotics","London, England, United Kingdom, Europe","Danaher Ventures, Dimension Capital"
Venture Round - Lyte AI,https://www.crunchbase.com/funding_round/lyte-ai-series-unknown--2cb44adc,Venture - Series Unknown,107000000,USD,107000000,2026-01-05,,"Lyte AI offers a low-code fintech platform that enables companies to build, launch, and scale digital banking and compliance tools.",https://www.lyte.ai,1,"Artificial Intelligence (AI), Compliance, FinTech, Quantum Computing, Real Time, Robotics","Mountain View, California, United States, North America",Avigdor Willenz
Series A - Jelou.ai,https://www.crunchbase.com/funding_round/jelou-series-a--ba901f7e,Series A,10000000,USD,10000000,2026-01-26,Early Stage Venture,"Jelou provides an AI-powered video and meeting assistance platform that helps teams transcribe, summarize, and analyze conversations.",https://jelou.ai/,3,"Artificial Intelligence (AI), Enterprise Software, Information Technology, SaaS","Guayaquil, Guayas, Ecuador, South America",Wellington Access Ventures
Venture Round - WitnessAI,https://www.crunchbase.com/funding_round/witnessai-series-unknown--44ccc4ce,Venture - Series Unknown,58000000,USD,58000000,2026-01-13,,"WitnessAI is building the guardrails that make AI safe, productive, and usable.",https://witness.ai,3,"Artificial Intelligence (AI), Enterprise Software, Network Security","Mountain View, California, United States, North America",Sound Ventures
Series B - Summize,https://www.crunchbase.com/funding_round/summize-7b27-series-b--074ba775,Series B,40000000,GBP,54696741,2026-01-27,Early Stage Venture,Summize is a contract lifecycle management software that integrates AI and contract workflows into existing business systems.,https://www.summize.com,2,"Analytics, Artificial Intelligence (AI), Contact Management, Legal Tech, SaaS","Manchester, Manchester, United Kingdom, Europe",Maven Capital Partners
Series A - Northslope,https://www.crunchbase.com/funding_round/northslope-series-a--1c74a960,Series A,22000000,USD,22000000,2026-01-29,Early Stage Venture,Northslope develops mission-specific AI applications on the Palantir operating system for enterprise customers.,https://northslope.com,1,"Artificial Intelligence (AI), Business Intelligence, Cloud Computing, Collaboration, Data Integration, Data Visualization, Enterprise Software, Machine Learning, Software","Denver, Missouri, United States, North America","Friends & Family Capital, Goldcrest Capital"
Venture Round - Etched.ai,https://www.crunchbase.com/funding_round/etched-ai-series-unknown--34ccc1c2,Venture - Series Unknown,500000000,USD,500000000,2026-01-14,,"Etched.ai is an AI chip startup that develops Sohu, a chip designed specifically for running transformer models.",https://www.etched.com,3,"AI Infrastructure, Artificial Intelligence (AI), Computer, Hardware, Semiconductor","Cupertino, California, United States, North America",Stripes
Series A - Cambio,https://www.crunchbase.com/funding_round/cambio-0fb5-series-a--9e15935a,Series A,18000000,USD,18000000,2026-01-22,Early Stage Venture,Cambio is an AI-native commercial real estate operations platform that transforms raw building data into actionable insights.,https://www.cambio.ai,5,"Agentic AI, Artificial Intelligence (AI), Business Process Automation (BPA), Commercial Real Estate, Real Estate, Software","New York, New York, United States, North America",Maverick Ventures
Seed Round - Datalinx AI,https://www.crunchbase.com/funding_round/datalinx-ai-seed--10a3c22e,Seed,4200000,USD,4200000,2026-01-29,Seed,"Datalinx AI provides a platform that cleans, transforms, enriches, and monitors data to enable accurate AI insights and automated workflows.",https://datalinx.ai,1,"Artificial Intelligence (AI), Data Management, Software","New York, New York, United States, North America",High Alpha
Series A - Corgi Insurance,https://www.crunchbase.com/funding_round/corgi-80d7-series-a--d35698df,Series A,108000000,USD,108000000,2026-01-08,Early Stage Venture,Corgi is the first AI Insurance and Financial Infrastructure Company.,https://www.corgi.insure,3,"Artificial Intelligence (AI), Insurance, InsurTech","San Francisco, California, United States, North America",Alumni Ventures
Series B - StepFun,https://www.crunchbase.com/funding_round/stepstar-series-b--07aa9e06,Series B,5000000000,CNY,718050350,2026-01-26,Early Stage Venture,StepFun is an AI technology company that develops large language models and multimodal AI systems to process and generate text.,https://www.stepfun.com,3,"Artificial Intelligence (AI), Foundational AI, Generative AI, Natural Language Processing","Xuhui, Shanghai, China, Asia",
Series A - Upscale AI,https://www.crunchbase.com/funding_round/upscale-ai-series-a--37a40447,Series A,200000000,USD,200000000,2026-01-21,Early Stage Venture,Upscale AI redefines networking with purpose-built solutions for high-performance compute.,https://upscaleai.com,2,"Artificial Intelligence (AI), Information Technology, Network Security","Santa Clara, California, United States, North America","Premji Invest, Tiger Global Management, Xora Innovation"
Series B - Listen Labs,https://www.crunchbase.com/funding_round/listen-labs-series-b--767ffe34,Series B,69000000,USD,69000000,2026-01-14,Early Stage Venture,Listen Labs is an AI-first customer research platform that automates customer interviews and delivers actionable insights.,https://www.listenlabs.ai,4,"Analytics, Artificial Intelligence (AI), Generative AI, Market Research, Software","San Francisco, California, United States, North America",Ribbit Capital
Series B - PaleBlueDot AI,https://www.crunchbase.com/funding_round/palebluedot-ai-series-b--728ae08a,Series B,150000000,USD,150000000,2026-01-28,Early Stage Venture,PaleBlueDot AI is a technology company that provides cloud-based GPU infrastructure through a marketplace and dedicated computing clusters.,https://palebluedot.ai,2,"Artificial Intelligence (AI), Cloud Infrastructure, Information Technology, Software","Palo Alto, California, United States, North America",B Capital
Series B - SpotDraft,https://www.crunchbase.com/funding_round/spotdraft-series-b--beeb95dc,Series B,8000000,USD,8000000,2026-01-26,Early Stage Venture,SpotDraft is a contract automation platform that manages the entire contract lifecycle.,https://www.spotdraft.com,7,"Artificial Intelligence (AI), Legal, Legal Tech, SaaS","Bangalore, Karnataka, India, Asia",Qualcomm Ventures
Series C - Mytra,https://www.crunchbase.com/funding_round/mytra-series-c--36d413e5,Series C,120000000,USD,120000000,2026-01-15,Late Stage Venture,Mytra is a robotics company developing software-defined warehouse robotics solutions to automate industrial tasks in logistics.,http://mytra.ai,4,"Artificial Intelligence (AI), Industrial Automation, Robotics, Supply Chain Management, Warehousing","South San Francisco, California, United States, North America",Avenir
Series B - Unbox Robotics,https://www.crunchbase.com/funding_round/unboxrobotics-labs-series-b--c1d08672,Series B,28000000,USD,28000000,2026-01-20,Early Stage Venture,Unbox Robotics builds on-demand AI-driven warehouse robotics solutions to automate and improve logistics operations.,https://unboxrobotics.com,10,"Artificial Intelligence (AI), Industrial Automation, Intelligent Systems, Logistics, Machine Learning, Robotics, Supply Chain Management, Warehouse Automation","Bangalore, Karnataka, India, Asia","ICICI Venture, Redstart Labs"
Series A - XBuild,https://www.crunchbase.com/funding_round/xbuild-series-a--4027b4c2,Series A,19000000,USD,19000000,2026-01-20,Early Stage Venture,"XBuild offers an AI-powered platform for construction tasks like estimation, supplementation, and instant financing.",https://www.x.build,2,"Artificial Intelligence (AI), InsurTech, Mobile Apps, Software","San Francisco, California, United States, North America",N47
Series B - Harmattan AI,https://www.crunchbase.com/funding_round/harmattan-ai-series-b--b63702f4,Series B,200000000,USD,200000000,2026-01-12,Early Stage Venture,Harmattan AI is a technology company that develops AI-powered autonomous systems and software for military and defense applications.,https://www.harmattan.ai,3,"Artificial Intelligence (AI), Computer Vision, Military","Paris, Ile-de-France, France, Europe",Dassault Aviation
Series A - Fulcrum,https://www.crunchbase.com/funding_round/fulcrum-ab09-series-a--8dc8042d,Series A,25000000,USD,25000000,2026-01-27,Early Stage Venture,Fulcrum is an AI-powered platform designed to help insurance account managers handle larger books of business more efficiently.,https://www.withfulcrum.com,4,"Artificial Intelligence (AI), Insurance, Software","San Francisco, California, United States, North America",CRV
Pre Seed Round - Playad.ai,https://www.crunchbase.com/funding_round/gigr-pre-seed--95ad134a,Pre-Seed,5400000,USD,5400000,2026-01-22,Seed,Playad.ai develops an AI-native marketing platform for multi-agent ad workflows and interactive ad creatives.,https://playad.ai,1,"Advertising, Advertising Platforms, Artificial Intelligence (AI), Digital Marketing, Marketing, Marketing Automation, Productivity Tools, SaaS, Software","South San Francisco, Pennsylvania, United States, North America","BRV Capital Management, Mirae Asset Venture Investment"
Series A - Nitro Commerce,https://www.crunchbase.com/funding_round/nitro-commerce-series-a--6a064457,Series A,5000000,USD,5000000,2026-01-07,Early Stage Venture,Nitro Commerce provides AI tools to help them reach their greatest potential.,https://nitrocommerce.ai/get-started,2,"Artificial Intelligence (AI), Information Technology","Haryana, Haryana, India, Asia",Cornerstone Ventures
Series A - Protege,https://www.crunchbase.com/funding_round/protege-7b9e-series-a--3cc656d6,Series A,30000000,USD,30000000,2026-01-07,Early Stage Venture,Protege is the AI training data platform enabling seamless and compliant data exchange.,https://www.withprotege.ai,3,"Analytics, Artificial Intelligence (AI), Data Management","New City, New York, United States, North America",Andreessen Horowitz
Seed Round - BottleCap AI,https://www.crunchbase.com/funding_round/bottlecap-ai-seed--1512e302,Seed,7500000,USD,7500000,2026-01-29,Seed,BottleCap AI is a startup dedicated to producing highly efficient large language models (LLMs) using unique architectures..,https://www.bottlecapai.com,1,"Artificial Intelligence (AI), Internet",,The Twenty Minute VC
Series A - RISA Labs,https://www.crunchbase.com/funding_round/risa-labs-ai-series-a--61e37e2f,Series A,11100000,USD,11100000,2026-01-13,Early Stage Venture,"Oncology first, AI Transformation Lab. Pioneers of BOSS [Business (Operating System) as Service]. We serve mission critical institutions.",https://www.risalabs.ai,2,"Artificial Intelligence (AI), Enterprise Software","Palo Alto, California, United States, North America","Cencora Ventures, Optum Ventures"
Seed Round - Coxwave,https://www.crunchbase.com/funding_round/coxwave-c11d-seed--524bf400,Seed,7000000000,KRW,4743261,2026-01-14,Seed,"Coxwave provides product analytics and observability for AI apps through Skylight, tracking LLM prompts, metrics, feedback, evaluations.",https://www.coxwave.com,3,"Analytics, Artificial Intelligence (AI), B2B, Consulting, Information Technology, Machine Learning, SaaS, Software","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",L&S Venture Capital
Series A - Higgsfield,https://www.crunchbase.com/funding_round/higgsfield-series-a--6bc335bf,Series A,80000000,USD,80000000,2026-01-15,Early Stage Venture,Higgsfield is a video AI firm committed to democratizing social media content creation for everyone.,https://higgsfield.ai,3,"Artificial Intelligence (AI), Video Editing","San Francisco, California, United States, North America",
Seed Round - furl,https://www.crunchbase.com/funding_round/furl-6d15-seed--9ddb417d,Seed,10000000,USD,10000000,2026-01-21,Seed,The world's first AI-powered collaborative experience designer,https://furl.ai,1,"Artificial Intelligence (AI), Data Integration, SaaS, Software",,Ten Eleven Ventures
Series A - HeyMax,https://www.crunchbase.com/funding_round/max-heymax-ai-series-a--34d82513,Series A,11000000,USD,11000000,2026-01-28,Early Stage Venture,HeyMax is a platform for travel rewards and loyalty.,https://heymax.ai/,2,"Advertising Platforms, Artificial Intelligence (AI), Credit Cards, E-Commerce, FinTech, Loyalty Programs, Personal Finance, Shopping, Travel","Singapore, Central Region, Singapore, Asia",Peak XV Partners
Series A - Juwei Technology,https://www.crunchbase.com/funding_round/juwei-technology-series-a--7eaaad54,Series A,100000000,CNY,14361007,2026-01-23,Early Stage Venture,"Juwei Technology is one of the ""Four Little Dogs of Hangzhou.",https://microrobotech.cn/?shpxid=b95f3b80-cc1c-44bd-8e2e-6f4ce9e59ab3,1,"Artificial Intelligence (AI), Robotics","Hangzhou, Zhejiang, China, Asia",Zhengqiang Corporation
Series B - Compa,https://www.crunchbase.com/funding_round/compa-976a-series-b--df930c80,Series B,35000000,USD,35000000,2026-01-26,Early Stage Venture,Compa provides a software platform that supplies compensation data and analytical tools for corporate pay decision processes.,http://www.compa.ai,3,"Analytics, Artificial Intelligence (AI), Enterprise Software, Human Resources, SaaS","Newport Beach, California, United States, North America",Jump Capital
