Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors,analysis_uses_genai,analysis_genai_intensity,analysis_models_mentioned,analysis_build_patterns,analysis_market_type,analysis_sub_vertical,analysis_target_market,analysis_newsletter_potential,analysis_technical_depth,analysis_confidence_score,analysis_competitors,analysis_competitive_moat
Series B - Zocks,https://www.crunchbase.com/funding_round/zocks-series-b--52df2da4,Series B,45000000,USD,45000000,2026-01-26,Early Stage Venture,Zocks is an AI-powered assistant specifically for financial advisors that automate routine tasks and capture client insights.,https://zocks.io/,3,"Artificial Intelligence (AI), Enterprise Software, Financial Services, Software","San Francisco, California, United States, North America","Lightspeed Venture Partners, QED Investors",Yes,core,,Guardrail-as-LLM; Vertical Data Moats; Agentic Architectures; RAG (Retrieval-Augmented Generation); Continuous-learning Flywheels,vertical,wealth management automation for financial advisors,b2b,high,high,0.95,,
Seed Round - humans&,https://www.crunchbase.com/funding_round/humans-36f3-seed--4310ba54,Seed,480000000,USD,480000000,2026-01-20,Seed,humans& operates as a frontier artificial intelligence research and product lab focused on human-centered AI systems and interaction models.,https://humansand.ai,1,"AI Infrastructure, Artificial Intelligence (AI), Foundational AI, Generative AI, Information Technology, Machine Learning, Software","Redwood City, California, United States, North America","Georges Harik, SV Angel",Yes,core,,Agentic Architectures; Continuous-learning Flywheels; Micro-model Meshes,horizontal,AI-powered productivity and collaboration platforms,b2b2c,high,high,0.95,,
Series A - LMArena,https://www.crunchbase.com/funding_round/lmarena-series-a--58c7f201,Series A,150000000,USD,150000000,2026-01-06,Early Stage Venture,"LMArena is a web-based platform that evaluates large language models (LLMs) through anonymous, crowd-sourced pairwise comparisons.",https://lmarena.ai,2,"Artificial Intelligence (AI), Information Services, Machine Learning, Product Research","San Francisco, California, United States, North America","Felicis, UC Investments",Yes,core,Qwen; Anthropic; Meta; Minimax; Perplexity,Continuous-learning Flywheels; Micro-model Meshes; Vertical Data Moats; Continuous-learning Flywheels,horizontal,AI model evaluation and benchmarking platforms,b2b2c,high,medium,0.95,,
Series D - Decagon,https://www.crunchbase.com/funding_round/decagon-485e-series-d--363d9f2d,Series D,250000000,USD,250000000,2026-01-28,Late Stage Venture,Decagon provides a conversational AI platform for automating customer support across multiple channels.,https://decagon.ai,5,"Artificial Intelligence (AI), Generative AI, Machine Learning, Software","San Francisco, California, United States, North America","Coatue, Index Ventures",Yes,core,,Natural-Language-to-Code; Agentic Architectures; Continuous-learning Flywheels; Guardrail-as-LLM; RAG (Retrieval-Augmented Generation); Vertical Data Moats,horizontal,customer experience automation (CX automation),b2b,high,high,0.95,,
Series D - OpenEvidence,https://www.crunchbase.com/funding_round/openevidence-series-d--9df809d5,Series D,250000000,USD,250000000,2026-01-21,Late Stage Venture,OpenEvidence is a medical AI company that builds a search engine to support clinicians in making evidence-based decisions.,https://www.openevidence.com,6,"Artificial Intelligence (AI), Clinical Trials, Medical, SaaS, Search Engine","Cambridge, Massachusetts, United States, North America","DST Global, Thrive Capital",No,unclear,,Guardrail-as-LLM,vertical,clinical decision support,b2b,low,low,0.0,,
Seed Round - Inferact,https://www.crunchbase.com/funding_round/inferact-seed--2f5a6295,Seed,150000000,USD,150000000,2026-01-22,Seed,Inferact mission is to accelerate AI progress by making inference cheaper and faster.,https://inferact.ai/,1,"Artificial Intelligence (AI), Information Technology, Software","San Francisco, California, United States, North America","Andreessen Horowitz, Lightspeed Venture Partners",Yes,core,vLLM; mixture-of-experts; multimodal; agentic,Micro-model Meshes; Agentic Architectures; Vertical Data Moats,horizontal,AI/ML inference infrastructure,b2b,high,high,0.95,,
Seed Round - Terra Industries,https://www.crunchbase.com/funding_round/terrahaptix-seed--1d10e5ef,Seed,11750000,USD,11750000,2026-01-12,Seed,Terra Industries develops autonomous security systems and software platforms that support the monitoring and protection of physical assets.,https://www.terraindustries.co,2,"Artificial Intelligence (AI), Big Data, Cyber Security, Drones, National Security","Abuja, Federal Capital Territory, Nigeria, Africa",8VC,No,unclear,,Agentic Architectures; Vertical Data Moats; Micro-model Meshes; Agentic Architectures,vertical,physical security and critical infrastructure protection,b2b,high,medium,0.5,,
Seed Round - Proxima,https://www.crunchbase.com/funding_round/vantai-seed--582859ed,Seed,86264999,USD,86264999,2026-01-13,Seed,Proxima Bio develops programmable medicines that modulate protein interactions to address disease processes.,https://proximabio.com,1,"Alternative Medicine, Artificial Intelligence (AI), Biotechnology, Clinical Trials, Life Science, Machine Learning","New York, New York, United States, North America",DCVC,Yes,core,Proteina; BioEmu; Boltz-1,Vertical Data Moats; Micro-model Meshes; Agentic Architectures; RAG (Retrieval-Augmented Generation),vertical,AI-driven drug discovery and development,b2b,high,high,0.9,,
Venture Round - Baseten,https://www.crunchbase.com/funding_round/baseten-series-unknown--cfb7ab38,Venture - Series Unknown,300000000,USD,300000000,2026-01-20,,"Baseten is an AI infrastructure company that integrates machine learning into business operations, production, and processes.",https://www.baseten.co,7,"AI Infrastructure, Artificial Intelligence (AI), Developer Tools, Machine Learning, Software, Software Engineering","San Francisco, California, United States, North America","CapitalG, IVP, NVIDIA",Yes,core,GLM 4.7; DeepSeek V3.2; GPT OSS 120B; Qwen3 Coder 480B; Whisper Large V3; Whisper Large V3 Turbo; Wan 2.2; NVIDIA Nemotron 3 Nano; Mistral AI; DeepSeek-R1,Micro-model Meshes; RAG (Retrieval-Augmented Generation); Agentic Architectures; Vertical Data Moats; Continuous-learning Flywheels,horizontal,AI/ML infrastructure and deployment platforms,b2b,high,high,0.95,,
Series C - Fiddler AI,https://www.crunchbase.com/funding_round/fiddler-labs-series-c--7ebb413c,Series C,30000000,USD,30000000,2026-01-27,Late Stage Venture,"Fiddler provides enterprise model performance management software that allows monitoring, explaining, analyzing, and improving ML models.",https://www.fiddler.ai,8,"AI Infrastructure, Analytics, Artificial Intelligence (AI), Big Data, Enterprise, Machine Learning, Software","Palo Alto, California, United States, North America",RPS Ventures,Yes,core,LLM; NVIDIA NeMo Guardrails; Amazon SageMaker AI; Google Vertex AI,Guardrail-as-LLM; Agentic Architectures; Micro-model Meshes; Continuous-learning Flywheels; Vertical Data Moats,horizontal,AI observability and governance for enterprise AI/ML systems,b2b,high,high,0.95,,
Series C - osapiens,https://www.crunchbase.com/funding_round/osapiens-series-c--79cdb57e,Series C,100000000,USD,100000000,2026-01-14,Late Stage Venture,Osapiens is a technology company that provides digital systems and software solutions to automate and optimize operational workflows.,https://www.osapiens.com,3,"Artificial Intelligence (AI), Compliance, SaaS, Supply Chain Management","Mannheim, Baden-Wurttemberg, Germany, Europe",Decarbonization Partners,No,none,,Vertical Data Moats; Guardrail-as-LLM; Agentic Architectures; RAG (Retrieval-Augmented Generation),horizontal,supply chain compliance and operational workflow automation,b2b,high,high,0.95,,
Series C - Rogo,https://www.crunchbase.com/funding_round/rogo-series-c--2b091e92,Series C,75000000,USD,75000000,2026-01-28,Late Stage Venture,"Rogo provides an enterprise AI platform for automating research, workflows, and document creation in finance.",https://rogo.ai,7,"Analytics, Artificial Intelligence (AI), Business Intelligence, Financial Services, FinTech, Generative AI","New York, New York, United States, North America",Sequoia Capital,Yes,core,GPT-5; Gemini 3; LLMs,Vertical Data Moats; Agentic Architectures; RAG (Retrieval-Augmented Generation); Guardrail-as-LLM; Knowledge Graphs; Micro-model Meshes; Continuous-learning Flywheels,vertical,investment banking and asset management automation,b2b,high,high,0.95,,
Seed Round - Limy AI,https://www.crunchbase.com/funding_round/limy-ai-seed--ec6926d6,Seed,10000000,USD,10000000,2026-01-28,Seed,Limy AI is a software development company that offers brand marketing services using AI.,https://www.limy.ai/,3,"Artificial Intelligence (AI), Brand Marketing, Software","New York, New York, United States, North America",Flybridge,Yes,core,,Agentic Architectures; Vertical Data Moats; Continuous-learning Flywheels,horizontal,AI-powered brand visibility and MarTech,b2b,high,medium,0.7,,
Series A - X Square,https://www.crunchbase.com/funding_round/x-square-series-a--68a7b3e1,Series A,1000000000,CNY,143408240,2026-01-12,Early Stage Venture,"X Square is a company aiming to create a universal brain-cerebellum system for robots, encompassing capabilities from perception to action.",http://www.x2robot.com,7,"Artificial Intelligence (AI), Robotic Process Automation (RPA), Robotics","Shenzhen, Guangdong, China, Asia",,Yes,core,GreatWall; WALL-A,Agentic Architectures; Vertical Data Moats; Continuous-learning Flywheels; Micro-model Meshes,horizontal,"advanced robotics for manufacturing, logistics, and service automation",b2b,high,high,0.95,,
Series A - Ricursive Intelligence,https://www.crunchbase.com/funding_round/ricursive-intelligence-series-a--5228256d,Series A,300000000,USD,300000000,2026-01-26,Early Stage Venture,Ricursive Intelligence uses AI and computing to shorten semiconductor timelines through recursive cycles designing silicon for AI.,https://www.ricursive.com,2,"AI Infrastructure, Artificial Intelligence (AI), Business Intelligence, Semiconductor","Palo Alto, California, United States, North America",Lightspeed Venture Partners,Yes,core,,Continuous-learning Flywheels; Vertical Data Moats; Agentic Architectures,vertical,semiconductor design automation,b2b,high,high,0.85,,
Series A - Converge Bio,https://www.crunchbase.com/funding_round/converge-bio-series-a--f280ccd9,Series A,25000000,USD,25000000,2026-01-13,Early Stage Venture,Converge Bio integrates Generative AI with biological data.,https://converge-bio.com/,3,"Artificial Intelligence (AI), Biotechnology, Medical","Wilmington, Delaware, United States, North America",Bessemer Venture Partners,Yes,core,,Vertical Data Moats; Agentic Architectures; RAG (Retrieval-Augmented Generation),vertical,AI-driven drug discovery,b2b,high,high,0.95,,
Seed Round - Gyde,https://www.crunchbase.com/funding_round/gyde-707f-seed--32ea2bec,Seed,60000000,USD,60000000,2026-01-28,Seed,Gyde operates an AI-native brokerage platform designed to support insurance professionals and agencies with digital tools and services.,https://gydehealth.ai/,1,"Artificial Intelligence (AI), Health Care, Health Insurance, Personal Health","Austin, Texas, United States, North America",Lightspeed Venture Partners,Yes,core,,Agentic Architectures; Vertical Data Moats; Continuous-learning Flywheels,vertical,insurance brokerage (AI-enabled),b2b2c,high,medium,0.9,,
Series D - Vention,https://www.crunchbase.com/funding_round/vention-series-d--a3429c49,Series D,90000000,USD,90000000,2026-01-27,Late Stage Venture,Vention is a digital manufacturing automation platform that helps companies automate their production floor.,https://www.vention.io,8,"Artificial Intelligence (AI), CAD, Hardware, Industrial Automation, Mechanical Engineering, Robotics","Montréal, Quebec, Canada, North America",Investissement Quebec,No,unclear,,Guardrail-as-LLM,vertical,manufacturing automation,b2b,low,low,0.0,,
Series A - Agileday,https://www.crunchbase.com/funding_round/agileday-series-a--a4303b5c,Series A,6400000,EUR,7520564,2026-01-23,Early Stage Venture,"Agileday is a services automation platform combining talent management, timesheets, and project financials into one operating system.",https://www.agileday.com,2,"Artificial Intelligence (AI), Business Process Automation (BPA), Professional Services, SaaS, Software","Helsinki, Southern Finland, Finland, Europe",Newion,Yes,core,,Micro-model Meshes; Vertical Data Moats; Knowledge Graphs,vertical,professional services automation (PSA) for B2B services firms,b2b,high,medium,0.85,,
Seed Round - Levellr,https://www.crunchbase.com/funding_round/levellr-seed--d9ad616d,Seed,2500000,USD,2500000,2026-01-29,Seed,Levellr is a technology company that provides a platform for modernizing corporate payroll and workforce management.,https://levellr.com,3,"Analytics, Artificial Intelligence (AI), Gaming, Human Resources","London, England, United Kingdom, Europe",Fuel Ventures,No,none,,Vertical Data Moats; Continuous-learning Flywheels,horizontal,workforce management and payroll modernization,b2b,medium,medium,0.95,,
Series A - Mia Labs,https://www.crunchbase.com/funding_round/mialabsinc-series-a--a3cbdab7,Series A,20000000,USD,20000000,2026-01-22,Early Stage Venture,"Mia Labs is an Artificial intelligence employee to answer calls, schedule appointments, and provide assistance.",https://mia.inc/,2,"Artificial Intelligence (AI), Information Technology","Austin, Texas, United States, North America",Permanent Capital Ventures,Yes,core,Microsoft; Deepgram,Vertical Data Moats; Agentic Architectures; Continuous-learning Flywheels; Guardrail-as-LLM,vertical,automotive retail operations,b2b,high,medium,0.95,,
Seed Round - Emobi,https://www.crunchbase.com/funding_round/emobi-2b3b-seed--ed742486,Seed,3400000,USD,3400000,2026-01-28,Seed,"Emobi is an electric vehicle company that designs, manufactures, and markets zero-emission urban mobility solutions.",https://www.emobi.ai,3,"Artificial Intelligence (AI), Business Intelligence, Charging Infrastructure, Clean Energy, Electric Vehicle","San Francisco, California, United States, North America",Florida Funders,No,unclear,,Vertical Data Moats; Agentic Architectures; Micro-model Meshes; Continuous-learning Flywheels,vertical,EV charging infrastructure and mobility platforms,b2b2c,high,high,0.3,,
Pre Seed Round - yozo.ai,https://www.crunchbase.com/funding_round/yozo-ai-pre-seed--caccfcd0,Pre-Seed,1700000,USD,1700000,2026-01-28,Seed,Yozo AI Growth Agent is a self-sufficient Shopify store marketing assistant.,https://yozo.ai/,1,"Artificial Intelligence (AI), E-Commerce, Software","Abu Dhabi, Abu Dhabi, United Arab Emirates, Asia","Access Bridge Ventures, Disruptech Ventures",Yes,core,,Agentic Architectures; Continuous-learning Flywheels; Vertical Data Moats,vertical,AI-powered MarTech for e-commerce automation,b2b,high,medium,0.85,,
Series A - FLORA,https://www.crunchbase.com/funding_round/flora-25cf-series-a--4090f6bd,Series A,42000000,USD,42000000,2026-01-27,Early Stage Venture,FLORA is an applied AI HCI company building creative tools.,https://www.florafauna.ai,2,"Artificial Intelligence (AI), Information Technology, Software","Brooklyn, New York, United States, North America",Redpoint,,,,,,,,,,,,
Series B - Ivo,https://www.crunchbase.com/funding_round/latch-2f35-series-b--1c83d7b3,Series B,55000000,USD,55000000,2026-01-20,Early Stage Venture,Ivo is an AI-powered contract intelligence platform helping enterprise legal teams streamline contract review and negotiation processes.,https://www.ivo.ai,4,"Artificial Intelligence (AI), Legal, Legal Tech","San Francisco, California, United States, North America",Blackbird Ventures,Yes,core,,Knowledge Graphs; Agentic Architectures; Vertical Data Moats; RAG (Retrieval-Augmented Generation); Natural-Language-to-Code; Guardrail-as-LLM,vertical,contract intelligence and legal workflow automation,b2b,high,high,0.95,,
Series A - Adaptive6,https://www.crunchbase.com/funding_round/adaptive6-series-a--ab85f613,Series A,28000000,USD,28000000,2026-01-28,Early Stage Venture,Adaptive6 is a cloud cost governance platform helping engineers optimize expenses before resource provisioning.,https://www.adaptive6.com,1,"Artificial Intelligence (AI), Cloud Management, Software","Tel Aviv-yafo, Tel Aviv, Israel, Asia",U.S. Venture Partners,Yes,enhancement,,Guardrail-as-LLM; Agentic Architectures; Vertical Data Moats,horizontal,cloud cost governance & optimization,b2b,high,high,0.7,,
Seed Round - Poetiq,https://www.crunchbase.com/funding_round/poetiq-seed--c977e00f,Seed,45800000,USD,45800000,2026-01-30,Seed,Poetiq develops an AI meta-system that improves large language models for complex reasoning and problem solving.,https://poetiq.ai,1,"Artificial Intelligence (AI), Business Intelligence, Data Integration, Enterprise Software, Knowledge Management, Machine Learning, Natural Language Processing, Software","Mountain View, Missouri, United States, North America","FYRFLY Venture Partners, Surface Ventures",,,,,,,,,,,,
Venture Round - Lyte AI,https://www.crunchbase.com/funding_round/lyte-ai-series-unknown--2cb44adc,Venture - Series Unknown,107000000,USD,107000000,2026-01-05,,"Lyte AI offers a low-code fintech platform that enables companies to build, launch, and scale digital banking and compliance tools.",https://www.lyte.ai,1,"Artificial Intelligence (AI), Compliance, FinTech, Quantum Computing, Real Time, Robotics","Mountain View, California, United States, North America",Avigdor Willenz,No,unclear,,Vertical Data Moats; Agentic Architectures,vertical,digital banking and compliance automation,b2b,high,high,0.2,,
Seed Round - Bolna,https://www.crunchbase.com/funding_round/whismurwave-inc-seed--93e38def,Seed,6300000,USD,6300000,2026-01-20,Seed,"Bolna offers voice AI agents that transforms business to qualify leads, boost sales, automate customer support, and streamline recruitment.",https://www.bolna.ai/,2,"Artificial Intelligence (AI), Business Development, Generative AI, Sales, VoIP","Dover, Delaware, United States, North America",General Catalyst,Yes,core,openai; azure; anthropic; gpt-4.1; gpt-4.1-mini; gpt-4.1-nano; gpt-4o; gpt-4o-mini; gpt-4; elevenlabs; deepgram; cartesia; polly,Agentic Architectures; Micro-model Meshes; Vertical Data Moats; Guardrail-as-LLM; RAG (Retrieval-Augmented Generation); Continuous-learning Flywheels; Natural-Language-to-Code,horizontal,Conversational AI for business process automation,b2b,high,high,0.98,,
Pre Seed Round - GeneralMind,https://www.crunchbase.com/funding_round/generalmind-pre-seed--43a4f1ad,Pre-Seed,12000000,USD,12000000,2026-01-20,Seed,GeneralMind is an AI company that reduces repetitive supply-chain operations by automating manual steps in email and excel.,https://www.generalmind.com,1,"Artificial Intelligence (AI), Software","Berlin, Berlin, Germany, Europe","BOOOM, Heliad AG, Lakestar, Leo Capital, Lucid Capital",Yes,core,,Agentic Architectures; Vertical Data Moats; Continuous-learning Flywheels; Micro-model Meshes; RAG (Retrieval-Augmented Generation); Guardrail-as-LLM,horizontal,supply chain automation and logistics,b2b,high,high,0.95,,
Series C - Zanskar,https://www.crunchbase.com/funding_round/zanskar-series-c--7de4f665,Series C,115000000,USD,115000000,2026-01-21,Late Stage Venture,Zanskar develops data-driven technology to identify and develop geothermal energy resources.,https://zanskar.com,4,"Analytics, Artificial Intelligence (AI), Geothermal Energy, GreenTech, Information Technology, Predictive Analytics, Renewable Energy","Salt Lake City, Utah, United States, North America",Spring Lane Capital,Yes,core,,Vertical Data Moats; Agentic Architectures; Continuous-learning Flywheels,vertical,geothermal energy exploration and development,b2b,high,medium,0.9,,
Series A - Prenosis,https://www.crunchbase.com/funding_round/prenosis-series-a--26dbef79,Series A,20000000,USD,20000000,2026-01-29,Early Stage Venture,Prenosis develops data-driven diagnostic tools and precision medicine solutions for acute care conditions.,http://www.prenosis.com,7,"Artificial Intelligence (AI), Biopharma, Health Care, Hospital, Machine Learning, Medical, Pharmaceutical, Precision Medicine","Chicago, Illinois, United States, North America",PACE Healthcare Capital,No,none,,Vertical Data Moats; Micro-model Meshes; Continuous-learning Flywheels; RAG (Retrieval-Augmented Generation),vertical,clinical decision support and diagnostics,b2b,high,high,0.95,,
Series C - Automata,https://www.crunchbase.com/funding_round/automata-series-c--96898ebc,Series C,45000000,USD,45000000,2026-01-29,Late Stage Venture,Automata is a lab automation company offering the LINQ platform to streamline workflows and boost laboratory efficiency.,https://automata.tech,7,"Artificial Intelligence (AI), Biotechnology, Life Science, Robotics","London, England, United Kingdom, Europe","Danaher Ventures, Dimension Capital",Yes,enhancement,,Agentic Architectures; Vertical Data Moats; Agentic Architectures; Micro-model Meshes; Continuous-learning Flywheels; Knowledge Graphs,vertical,lab automation for life sciences and diagnostics,b2b,high,high,0.7,,
Seed Round - PraxisPro,https://www.crunchbase.com/funding_round/praxispro-seed--c81f98b9,Seed,7853193,USD,7853193,2026-01-21,Seed,"PraxisPro operates as an AI-powered training platform targeted for life sciences, including pharmaceutical and medical device sales teams.",https://www.praxispro.ai,1,"Artificial Intelligence (AI), Pharmaceutical, Sales","Houston, Texas, United States, North America",AlleyCorp,Yes,core,Small Language Models (SLMs),Micro-model Meshes; Vertical Data Moats; Continuous-learning Flywheels; Guardrail-as-LLM,vertical,corporate training for life sciences sales teams,b2b,high,high,0.95,,
Venture Round - WitnessAI,https://www.crunchbase.com/funding_round/witnessai-series-unknown--44ccc4ce,Venture - Series Unknown,58000000,USD,58000000,2026-01-13,,"WitnessAI is building the guardrails that make AI safe, productive, and usable.",https://witness.ai,3,"Artificial Intelligence (AI), Enterprise Software, Network Security","Mountain View, California, United States, North America",Sound Ventures,Yes,core,,Guardrail-as-LLM; Agentic Architectures; Vertical Data Moats,horizontal,AI security and compliance for enterprise environments,b2b,high,medium,0.85,,
Series A - Jelou.ai,https://www.crunchbase.com/funding_round/jelou-series-a--ba901f7e,Series A,10000000,USD,10000000,2026-01-26,Early Stage Venture,"Jelou provides an AI-powered video and meeting assistance platform that helps teams transcribe, summarize, and analyze conversations.",https://jelou.ai/,3,"Artificial Intelligence (AI), Enterprise Software, Information Technology, SaaS","Guayaquil, Guayas, Ecuador, South America",Wellington Access Ventures,Yes,core,,Agentic Architectures; Vertical Data Moats; Guardrail-as-LLM; Natural-Language-to-Code; RAG (Retrieval-Augmented Generation),horizontal,AI-powered business process automation and conversational commerce,b2b,high,high,0.95,,
Series A - Concourse,https://www.crunchbase.com/funding_round/concourse-e69f-series-a--4298cf5e,Series A,12000000,USD,12000000,2026-01-27,Early Stage Venture,"Concourse is an AI agent platform that helps corporate finance teams by automating financial analysis, reporting, and data workflows.",https://concourse.co,3,"Artificial Intelligence (AI), B2B, Generative AI, Software","New York, New York, United States, North America",Standard Capital,Yes,core,OpenAI,Agentic Architectures; Natural-Language-to-Code; Vertical Data Moats; RAG (Retrieval-Augmented Generation),vertical,corporate finance automation,b2b,high,high,0.98,,
Venture Round - Etched.ai,https://www.crunchbase.com/funding_round/etched-ai-series-unknown--34ccc1c2,Venture - Series Unknown,500000000,USD,500000000,2026-01-14,,"Etched.ai is an AI chip startup that develops Sohu, a chip designed specifically for running transformer models.",https://www.etched.com,3,"AI Infrastructure, Artificial Intelligence (AI), Computer, Hardware, Semiconductor","Cupertino, California, United States, North America",Stripes,Yes,core,,Micro-model Meshes; Vertical Data Moats,horizontal,"AI infrastructure hardware (AI accelerators, inference chips)",b2b,high,high,0.85,,
Series B - Summize,https://www.crunchbase.com/funding_round/summize-7b27-series-b--074ba775,Series B,40000000,GBP,54696741,2026-01-27,Early Stage Venture,Summize is a contract lifecycle management software that integrates AI and contract workflows into existing business systems.,https://www.summize.com,2,"Analytics, Artificial Intelligence (AI), Contact Management, Legal Tech, SaaS","Manchester, Manchester, United Kingdom, Europe",Maven Capital Partners,Yes,core,,Agentic Architectures; Vertical Data Moats; Micro-model Meshes; Guardrail-as-LLM; RAG (Retrieval-Augmented Generation),horizontal,contract lifecycle management (CLM),b2b,high,high,0.95,,
